#,Name,ClassJobCategory[0],ClassJobCategory[1],MissionTime,MissionReward,SilverStarRequirement,GoldStarRequirement,MissionToDo[0],MissionToDo[1],MissionToDo[2],LockedBehind,WKSMissionSupplyItem,WKSMissionRecipe,PlaceName,SortKey,WKSMissionText,WKSFunction,LevelGroup,Unknown0,WKSMissionLotterySpecialCond,IsSynced,IsSpecialQuest
62, 製作淋浴所需的家具,10,0,0,62,2700,3000,204,0,0,0,111,63,0,0,6,3,3,0,0,1,False
63, 製作青磷式便攜火爐,10,0,0,63,1600,2400,205,0,0,0,112,64,0,0,9,0,3,0,0,1,False
64, 製作居住區使用的照明設備,10,0,0,64,2700,3000,206,0,0,0,113,65,0,0,12,3,3,0,0,1,False
65, 製作使用了月面材料的工具,10,0,0,65,1000,1300,207,0,0,0,114,66,0,0,4,0,3,0,0,1,False
66, 製作使用了月面材料的零件,10,0,0,66,1000,1300,208,0,0,0,115,67,0,0,7,0,3,0,0,1,False
67,製作重要設施所需的裝甲板,10,0,1200,67,1800,2400,209,0,0,0,116,68,0,2200,1,0,4,0,0,0,False
68,加工稀有材料,10,0,1200,68,2300,3000,210,0,0,0,117,69,0,2200,2,3,4,0,0,0,False
69,補充設備施工的必需品,10,0,0,69,700,1000,211,0,0,0,118,70,0,2200,3,3,4,0,0,0,False
70,籌備工作人員使用的鑄甲工具,10,0,1200,70,700,1000,212,0,0,0,119,71,0,2200,4,3,4,0,0,0,False
71,檢驗隕鐵材料的加工方法,10,0,1200,71,2600,3000,213,0,0,0,120,72,0,2200,5,3,4,0,0,0,False
72,【高難】重現東方家具,10,0,1200,72,2500,3000,214,0,0,0,121,73,0,2100,6,3,5,0,0,0,False
73,【高難】加工精密材料,10,0,1200,73,840,1000,215,0,0,0,122,74,0,2100,7,3,5,0,0,0,False
74,【高難】補充月門基地的備用品,10,0,1200,74,840,1000,216,0,0,0,123,75,0,2100,8,3,5,2,0,0,False
75,【高難】製作工作輔助設備,10,0,1200,75,2800,3000,217,0,0,0,124,76,0,2100,9,3,5,1,14,0,False
76,【高難+】對材料進行耐磨加工,10,0,420,76,560,880,218,0,0,0,125,77,0,2000,10,0,6,0,13,0,False
77,【高難+】對材料進行抗震加工,10,0,330,77,560,880,219,0,0,0,126,78,0,2000,11,0,6,0,14,0,False
78,製作基地內的備用家具,10,0,1200,78,2300,3000,220,0,0,0,127,79,0,2200,12,3,4,0,0,0,False
79,【高難】續·製作基地內的備用家具,10,0,1200,79,2500,3000,221,0,0,78,128,80,0,2100,12,3,5,0,0,0,False
80,籌備具有特殊性質的材料,10,0,1200,80,1000,1600,222,0,0,0,129,81,0,2200,13,0,4,0,0,0,False
81,【高難】續·籌備具有特殊性質的材料,10,0,1200,81,1000,1600,223,0,0,80,130,82,0,2100,13,0,5,0,0,0,False
82,【高難+】製作研究所需的大型水槽,10,0,300,82,1000,1600,224,0,0,81,131,83,0,2000,13,0,6,0,0,0,False
83,【高難】製作建造宇宙飛船所需的材料,10,0,1200,83,850,1000,225,0,0,0,132,84,0,2100,14,3,5,0,0,0,False
84,【高難+】加工建造宇宙飛船所需的材料,10,0,240,84,900,1000,226,0,0,83,133,85,0,2000,14,3,6,2,0,0,False
85,製作高性能無人機所需的材料,10,0,1200,85,2300,3000,227,0,0,0,134,86,0,2200,15,3,4,0,3,0,False
86,【高難】續·製作高性能無人機所需的材料,10,0,1200,86,2500,3000,228,0,0,85,135,87,0,2100,15,3,5,1,0,0,False
87,【高難+】製作高性能無人機,10,0,270,87,2700,3000,229,0,0,86,136,88,0,2000,15,3,6,2,0,0,False
88,【高難+】製作特種裝備所需的材料,10,0,600,88,980,1080,230,0,0,0,137,89,0,2000,16,3,6,1,9,0,False
89,【高難+】續·製作特種裝備所需的材料,10,0,600,89,980,1080,231,0,0,88,138,90,0,2000,16,3,6,1,0,0,False
90,【高難+】製作特種裝備,10,0,420,90,1000,1080,232,0,0,89,139,91,0,2000,16,0,6,1,0,0,False
91, 製作通用型裝甲板,11,0,0,91,1200,2400,233,0,0,0,140,92,0,0,1,0,1,0,0,1,False
92, 製作宇宙飛船的備用零件,11,0,0,92,1200,2400,234,0,0,0,141,93,0,0,14,0,1,0,0,1,False
93, 檢驗合金的製作方法,11,0,0,93,1200,2400,235,0,0,0,142,94,0,0,2,0,1,0,0,1,False
94, 製作初級訂製零件,11,0,0,94,1200,2400,236,0,0,0,143,95,0,0,15,0,1,0,0,1,False
95, 製作通用型金屬零件,11,0,0,95,1200,2400,237,0,0,0,144,96,0,0,3,0,1,0,0,1,False
96, 生產大量必需品,11,0,0,96,1200,2400,238,0,0,0,145,97,0,0,3,0,1,0,0,1,False
97, 製作標準化厚型裝甲板,11,0,0,97,1200,2400,239,0,0,0,146,98,0,0,1,0,2,0,0,1,False
98, 製作宇宙飛船所需的傳動軸,11,0,0,98,1200,2400,240,0,0,0,147,99,0,0,14,0,2,0,0,1,False
99, 籌備工作人員使用的烹飪工具,11,0,0,99,1300,3000,241,0,0,0,148,100,0,0,4,3,2,0,0,1,False
100, 製作標準化鏈條板,11,0,0,100,700,1500,242,0,0,0,149,101,0,0,3,3,2,0,0,1,False
101, 籌備防塵裝備,11,0,0,101,1100,2500,243,0,0,0,150,102,0,0,4,3,2,0,0,1,False
102, 製作中級訂製零件,11,0,0,102,1200,2250,244,0,0,0,151,103,0,0,15,3,2,0,0,1,False
103, 製作隔熱設備,11,0,0,103,700,1500,245,0,0,0,152,104,0,0,9,3,2,0,0,1,False
104, 製作月球車所需的零件,11,0,0,104,1600,2400,246,0,0,0,153,105,0,0,3,0,3,0,0,1,False
105, 製作標準化薄型裝甲板,11,0,0,105,1600,2400,247,0,0,0,154,106,0,0,1,0,3,0,0,1,False
106, 續·籌備工作人員使用的烹飪工具,11,0,0,106,1700,2000,248,0,0,0,155,107,0,0,4,3,3,0,0,1,False
107, 製作茶歇所需的家具,11,0,0,107,2700,3000,249,0,0,0,156,108,0,0,6,3,3,0,0,1,False
108, 製作屋外使用的火爐,11,0,0,108,1600,2400,250,0,0,0,157,109,0,0,9,0,3,0,0,1,False
109, 製作居住區使用的收納設備,11,0,0,109,2700,3000,251,0,0,0,158,110,0,0,12,3,3,0,0,1,False
110, 製作使用了月面材料的工具,11,0,0,110,1000,1300,252,0,0,0,159,111,0,0,4,0,3,0,0,1,False
111, 製作使用了月面材料的零件,11,0,0,111,1000,1300,253,0,0,0,160,112,0,0,7,0,3,0,0,1,False
112,製作重要設施所需的裝甲板,11,0,1200,112,1800,2400,254,0,0,0,161,113,0,3200,1,0,4,0,0,0,False
113,加工稀有材料,11,0,1200,113,2300,3000,255,0,0,0,162,114,0,3200,2,3,4,0,0,0,False
114,補充設備施工的必需品,11,0,0,114,700,1000,256,0,0,0,163,115,0,3200,3,3,4,0,0,0,False
115,籌備導熱優秀的烹飪工具,11,0,1200,115,700,1000,257,0,0,0,164,116,0,3200,4,3,4,0,0,0,False
116,檢驗隕鐵材料的加工方法,11,0,1200,116,2600,3000,258,0,0,0,165,117,0,3200,5,3,4,0,0,0,False
117,【高難】重現香爐,11,0,1200,117,2500,3000,259,0,0,0,166,118,0,3100,6,3,5,0,0,0,False
118,【高難】加工精密材料,11,0,1200,118,840,1000,260,0,0,0,167,119,0,3100,7,3,5,0,0,0,False
119,【高難】補充月門基地的備用品,11,0,1200,119,840,1000,261,0,0,0,168,120,0,3100,8,3,5,2,0,0,False
120,【高難】為施工現場提供充足照明,11,0,1200,120,2800,3000,262,0,0,0,169,121,0,3100,9,3,5,1,13,0,False
121,【高難+】對材料進行耐磨加工,11,0,420,121,560,880,263,0,0,0,170,122,0,3000,10,0,6,0,13,0,False
122,【高難+】對材料進行抗震加工,11,0,330,122,560,880,264,0,0,0,171,123,0,3000,11,0,6,0,14,0,False
123,製作基地內的備用家具,11,0,1200,123,2300,3000,265,0,0,0,172,124,0,3200,12,3,4,0,0,0,False
124,【高難】續·製作基地內的備用家具,11,0,1200,124,2500,3000,266,0,0,123,173,125,0,3100,12,3,5,0,0,0,False
125,籌備具有特殊性質的材料,11,0,1200,125,1000,1600,267,0,0,0,174,126,0,3200,13,0,4,0,0,0,False
126,【高難】續·籌備具有特殊性質的材料,11,0,1200,126,1000,1600,268,0,0,125,175,127,0,3100,13,0,5,0,0,0,False
127,【高難+】製作重要樣本保管庫,11,0,300,127,1000,1600,269,0,0,126,176,128,0,3000,13,0,6,0,0,0,False
128,【高難】製作建造宇宙飛船所需的材料,11,0,1200,128,850,1000,270,0,0,0,177,129,0,3100,14,3,5,0,0,0,False
129,【高難+】加工建造宇宙飛船所需的材料,11,0,240,129,900,1000,271,0,0,128,178,130,0,3000,14,3,6,2,0,0,False
130,製作高性能無人機所需的材料,11,0,1200,130,2300,3000,272,0,0,0,179,131,0,3200,15,3,4,0,5,0,False
131,【高難】續·製作高性能無人機所需的材料,11,0,1200,131,2500,3000,273,0,0,130,180,132,0,3100,15,3,5,1,0,0,False
132,【高難+】製作高性能無人機,11,0,270,132,2700,3000,274,0,0,131,181,133,0,3000,15,3,6,2,0,0,False
133,【高難+】製作特種裝備所需的材料,11,0,600,133,980,1080,275,0,0,0,182,134,0,3000,16,3,6,1,11,0,False
134,【高難+】續·製作特種裝備所需的材料,11,0,600,134,980,1080,276,0,0,133,183,135,0,3000,16,3,6,1,0,0,False
135,【高難+】製作特種裝備,11,0,420,135,1000,1080,277,0,0,134,184,136,0,3000,16,0,6,1,0,0,False
136, 製作通用型裝甲板,12,0,0,136,1200,2400,278,0,0,0,185,137,0,0,1,0,1,0,0,1,False
137, 製作宇宙飛船的備用零件,12,0,0,137,1200,2400,279,0,0,0,186,138,0,0,14,0,1,0,0,1,False
138, 檢驗合金的製作方法,12,0,0,138,1200,2400,280,0,0,0,187,139,0,0,2,0,1,0,0,1,False
139, 製作初級訂製零件,12,0,0,139,1200,2400,281,0,0,0,188,140,0,0,15,0,1,0,0,1,False
140, 製作通用型金屬零件,12,0,0,140,1200,2400,282,0,0,0,189,141,0,0,3,0,1,0,0,1,False
141, 生產大量必需品,12,0,0,141,1200,2400,283,0,0,0,190,142,0,0,3,0,1,0,0,1,False
142, 製作標準化厚型裝甲板,12,0,0,142,1200,2400,284,0,0,0,191,143,0,0,1,0,2,0,0,1,False
143, 製作宇宙飛船所需的傳動軸,12,0,0,143,1200,2400,285,0,0,0,192,144,0,0,14,0,2,0,0,1,False
144, 籌備工作人員使用的研磨工具,12,0,0,144,1300,3000,286,0,0,0,193,145,0,0,4,3,2,0,0,1,False
145, 製作標準化鏈條,12,0,0,145,700,1500,287,0,0,0,194,146,0,0,3,3,2,0,0,1,False
146, 籌備護眼裝備,12,0,0,146,1100,2500,288,0,0,0,195,147,0,0,4,3,2,0,0,1,False
147, 製作中級訂製零件,12,0,0,147,1200,2250,289,0,0,0,196,148,0,0,15,3,2,0,0,1,False
148, 製作散熱設備,12,0,0,148,700,1500,290,0,0,0,197,149,0,0,9,3,2,0,0,1,False
149, 製作月球車所需的零件,12,0,0,149,1600,2400,291,0,0,0,198,150,0,0,3,0,3,0,0,1,False
150, 製作標準化薄型裝甲板,12,0,0,150,1600,2400,292,0,0,0,199,151,0,0,1,0,3,0,0,1,False
151, 籌備工作人員使用的裁縫工具,12,0,0,151,1700,2000,293,0,0,0,200,152,0,0,4,3,3,0,0,1,False
152, 製作觀測所需的家具,12,0,0,152,2700,3000,294,0,0,0,201,153,0,0,6,3,3,0,0,1,False
153, 製作屋內使用的火爐,12,0,0,153,1600,2400,295,0,0,0,202,154,0,0,9,0,3,0,0,1,False
154, 製作居住區使用的化妝鏡,12,0,0,154,2700,3000,296,0,0,0,203,155,0,0,12,3,3,0,0,1,False
155, 製作使用了月面材料的工具,12,0,0,155,1000,1300,297,0,0,0,204,156,0,0,4,0,3,0,0,1,False
156, 製作使用了月面材料的零件,12,0,0,156,1000,1300,298,0,0,0,205,157,0,0,7,0,3,0,0,1,False
157,製作重要設施所需的裝甲板,12,0,1200,157,1800,2400,299,0,0,0,206,158,0,4200,1,0,4,0,0,0,False
158,加工稀有材料,12,0,1200,158,2300,3000,300,0,0,0,207,159,0,4200,2,3,4,0,0,0,False
159,補充設備施工的必需品,12,0,0,159,700,1000,301,0,0,0,208,160,0,4200,3,3,4,0,0,0,False
160,籌備鋒利的小刀,12,0,1200,160,700,1000,302,0,0,0,209,161,0,4200,4,3,4,0,0,0,False
161,檢驗隕鐵材料的加工方法,12,0,1200,161,2600,3000,303,0,0,0,210,162,0,4200,5,3,4,0,0,0,False
162,【高難】重現淋浴家具,12,0,1200,162,2500,3000,304,0,0,0,211,163,0,4100,6,3,5,0,0,0,False
163,【高難】加工精密材料,12,0,1200,163,840,1000,305,0,0,0,212,164,0,4100,7,3,5,0,0,0,False
164,【高難】補充月門基地的備用品,12,0,1200,164,840,1000,306,0,0,0,213,165,0,4100,8,3,5,2,0,0,False
165,【高難】製作輔助施工的機械臂,12,0,1200,165,2800,3000,307,0,0,0,214,166,0,4100,9,3,5,1,14,0,False
166,【高難+】對材料進行耐磨加工,12,0,420,166,560,880,308,0,0,0,215,167,0,4000,10,0,6,0,13,0,False
167,【高難+】對材料進行抗震加工,12,0,330,167,560,880,309,0,0,0,216,168,0,4000,11,0,6,0,14,0,False
168,製作基地內的備用家具,12,0,1200,168,2300,3000,310,0,0,0,217,169,0,4200,12,3,4,0,0,0,False
169,【高難】續·製作基地內的備用家具,12,0,1200,169,2500,3000,311,0,0,168,218,170,0,4100,12,3,5,0,0,0,False
170,籌備具有特殊性質的材料,12,0,1200,170,1000,1600,312,0,0,0,219,171,0,4200,13,0,4,0,0,0,False
171,【高難】續·籌備具有特殊性質的材料,12,0,1200,171,1000,1600,313,0,0,170,220,172,0,4100,13,0,5,0,0,0,False
172,【高難+】製作自動販賣機,12,0,300,172,1000,1600,314,0,0,171,221,173,0,4000,13,0,6,0,0,0,False
173,【高難】製作建造宇宙飛船所需的材料,12,0,1200,173,850,1000,315,0,0,0,222,174,0,4100,14,3,5,0,0,0,False
174,【高難+】加工建造宇宙飛船所需的材料,12,0,240,174,900,1000,316,0,0,173,223,175,0,4000,14,3,6,2,0,0,False
175,製作高性能無人機所需的材料,12,0,1200,175,2300,3000,317,0,0,0,224,176,0,4200,15,3,4,0,7,0,False
176,【高難】續·製作高性能無人機所需的材料,12,0,1200,176,2500,3000,318,0,0,175,225,177,0,4100,15,3,5,1,0,0,False
177,【高難+】製作高性能無人機,12,0,270,177,2700,3000,319,0,0,176,226,178,0,4000,15,3,6,2,0,0,False
178,【高難+】製作特種裝備所需的材料,12,0,600,178,980,1080,320,0,0,0,227,179,0,4000,16,3,6,1,1,0,False
179,【高難+】續·製作特種裝備所需的材料,12,0,600,179,980,1080,321,0,0,178,228,180,0,4000,16,3,6,1,0,0,False
180,【高難+】製作特種裝備,12,0,420,180,1000,1080,322,0,0,179,229,181,0,4000,16,0,6,1,0,0,False
181, 製作通用型皮繩,13,0,0,181,1200,2400,323,0,0,0,230,182,0,0,17,0,1,0,0,1,False
182, 製作急救所需的皮革,13,0,0,182,1200,2400,324,0,0,0,231,183,0,0,20,0,1,0,0,1,False
183, 製作採集所需的手部防具,13,0,0,183,1200,2400,325,0,0,0,232,184,0,0,22,0,1,0,0,1,False
184, 籌備研究所需的材料,13,0,0,184,1200,2400,326,0,0,0,233,185,0,0,29,0,1,0,0,1,False
185, 製作工作所需的背包,13,0,0,185,1200,2400,327,0,0,0,234,186,0,0,20,0,1,0,0,1,False
186, 製作室內使用的皮鞋,13,0,0,186,1200,2400,328,0,0,0,235,187,0,0,19,0,1,0,0,1,False
187, 製作耐熱皮繩,13,0,0,187,1200,2400,329,0,0,0,236,188,0,0,17,0,2,0,0,1,False
188, 製作施工人員使用的大背包,13,0,0,188,1200,2400,330,0,0,0,237,189,0,0,20,0,2,0,0,1,False
189, 製作施工人員使用的腰帶,13,0,0,189,1300,3000,331,0,0,0,238,190,0,0,26,3,2,0,0,1,False
190, 製作高級紙張,13,0,0,190,700,1500,332,0,0,0,239,191,0,0,18,3,2,0,0,1,False
191, 製作綿羊地毯,13,0,0,191,1100,2500,333,0,0,0,240,192,0,0,19,3,2,0,0,1,False
192, 籌備宇宙快線所需的基礎物資,13,0,0,192,1200,2250,334,0,0,0,241,193,0,0,28,3,2,0,0,1,False
193, 製作使用了新材料的皮衣,13,0,0,193,700,1500,335,0,0,0,242,194,0,0,22,3,2,0,0,1,False
194, 製作急救所需的皮袋,13,0,0,194,1600,2400,336,0,0,0,243,195,0,0,20,0,3,0,0,1,False
195, 製作抗菌皮繩,13,0,0,195,1600,2400,337,0,0,0,244,196,0,0,17,0,3,0,0,1,False
196, 製作高級地毯,13,0,0,196,1700,2000,338,0,0,0,245,197,0,0,19,3,3,0,0,1,False
197, 製作搬運物資所需的皮革,13,0,0,197,2700,3000,339,0,0,0,246,198,0,0,31,3,3,0,0,1,False
198, 製作能夠長期保存的紙張,13,0,0,198,1600,2400,340,0,0,0,247,199,0,0,18,0,3,0,0,1,False
199, 製作休息所需的高級椅子,13,0,0,199,2700,3000,341,0,0,0,248,200,0,0,30,3,3,0,0,1,False
200, 製作使用了試驗性材料的手套,13,0,0,200,1000,1300,342,0,0,0,249,201,0,0,22,0,3,0,0,1,False
201, 製作休息所需的高級長椅,13,0,0,201,1000,1300,343,0,0,0,250,202,0,0,24,0,3,0,0,1,False
202,製作耐磨性優越的皮繩,13,0,1200,202,1800,2400,344,0,0,0,251,203,0,5200,17,0,4,0,0,0,False
203,製作頂級紙張,13,0,1200,203,2300,3000,345,0,0,0,252,204,0,5200,18,3,4,0,0,0,False
204,製作研究所需的植物地毯,13,0,0,204,700,1000,346,0,0,0,253,205,0,5200,19,3,4,0,0,0,False
205,製作保溫皮革,13,0,1200,205,700,1000,347,0,0,0,254,206,0,5200,20,3,4,0,0,0,False
206,檢驗月面植物的加工方法,13,0,1200,206,2600,3000,348,0,0,0,255,207,0,5200,21,3,4,0,0,0,False
207,【高難】進行試驗所需材料的最終檢驗,13,0,1200,207,2500,3000,349,0,0,0,256,208,0,5100,22,3,5,0,0,0,False
208,【高難】製作工作所需的小包,13,0,1200,208,840,1000,350,0,0,0,257,209,0,5100,23,3,5,0,0,0,False
209,【高難】製作高級沙發,13,0,1200,209,840,1000,351,0,0,0,258,210,0,5100,24,3,5,2,0,0,False
210,【高難】製作鄉情家具,13,0,1200,210,2800,3000,352,0,0,0,259,211,0,5100,25,3,5,1,13,0,False
211,【高難+】製作工作使用的安全鞋,13,0,420,211,560,880,353,0,0,0,260,212,0,5000,26,0,6,0,14,0,False
212,【高難+】製作採集使用的工作服,13,0,330,212,560,880,354,0,0,0,261,213,0,5000,27,0,6,0,13,0,False
213,製作基地所需的備用品,13,0,1200,213,2300,3000,355,0,0,0,262,214,0,5200,28,3,4,0,0,0,False
214,【高難】續·製作基地所需的備用品,13,0,1200,214,2500,3000,356,0,0,213,263,215,0,5100,28,3,5,0,0,0,False
215,籌備具有特殊性質的材料,13,0,1200,215,1000,1600,357,0,0,0,264,216,0,5200,29,0,4,0,0,0,False
216,【高難】續·籌備具有特殊性質的材料,13,0,1200,216,1000,1600,358,0,0,215,265,217,0,5100,29,0,5,0,0,0,False
217,【高難+】製作研究所需的大型材料,13,0,300,217,1000,1600,359,0,0,216,266,218,0,5000,29,0,6,0,0,0,False
218,【高難】製作休息設施所需的材料,13,0,1200,218,850,1000,360,0,0,0,267,219,0,5100,30,3,5,0,0,0,False
219,【高難+】製作休息設施所需的家具,13,0,240,219,900,1000,361,0,0,218,268,220,0,5000,30,3,6,2,0,0,False
220,製作貨物包裝材料,13,0,1200,220,2300,3000,362,0,0,0,269,221,0,5200,31,3,4,0,9,0,False
221,【高難】續·製作貨物包裝材料,13,0,1200,221,2500,3000,363,0,0,220,270,222,0,5100,31,3,5,1,0,0,False
222,【高難+】製作月球車所需的貨物包裝材料,13,0,270,222,2700,3000,364,0,0,221,271,223,0,5000,31,3,6,2,0,0,False
