#,Name,Description,Icon,Category,MainCommandCategory,Unknown0,SortID
37,許可證,查看«FINAL FANTASY XIV»的許可證。,0,0,7,76,5
38,筆記,（ヘルプ無し）,0,0,0,0,0
39,社交,（ヘルプ無し）,0,0,0,0,0
40,系統,（ヘルプ無し）,0,0,0,0,0
41,魚類圖鑑,漁師的圖鑑，記載了釣魚相關的各種詳細內容。釣上新種類的魚後會追加記入各種內容。,50,6,3,37,3
42,搭檔,查看搭檔的狀態、召喚剩餘時間和能夠使用的技能。搭檔的技能點也是在這裡分配。,49,10,1,10,4
43,任務輔助,（ヘルプ無し）,0,0,0,0,0
44,房屋,打開房屋選單。,52,5,6,57,2
45,顯示設定,打開顯示設定視窗，可以對當前的顯示效果、螢幕模式、畫面解析度等功能進行設定。,35,0,0,0,0
46,聲音設定,打開聲音設定視窗，可以對音量和靜音等功能進行設定。,36,0,0,0,0
47,圖像設定,打開圖像設定視窗，可以對畫面品質的各種細節進行設定。,37,0,0,0,0
48,滑鼠設定,打開滑鼠設定視窗，可以對滑鼠操作功能進行設定。,38,0,0,0,0
49,控制器設定,打開控制器設定視窗，可以對控制器的震動等功能進行設定。,39,0,0,0,0
50,其他設定,打開其他設定視窗，可以對遊戲截圖的保存格式及語言等功能進行設定。,51,0,0,0,0
51,操作設定,打開操作設定視窗，可以對視角、目標等操作相關的功能進行設定。,41,0,0,0,0
52,介面設定,打開介面設定視窗，可以對畫面上的各種使用者介面佈局進行設定。,42,0,0,0,0
53,名牌設定,打開名牌設定視窗，可以對玩家頭上的名牌進行設定。,43,0,0,0,0
54,快速鍵設定,打開快速鍵設定視窗，可以對快速鍵進行設定。,44,0,0,0,0
55,消息視窗設定,打開消息視窗設定畫面，可以對消息的字體大小及過濾遮罩等功能進行設定。,45,0,0,0,0
56,PvP資料,查看PvP的戰績或PvP專用技能，可以將PvP技能設置到快速鍵。,53,16,1,16,10
57,隊員招募,以指定目的和職能來招募共同戰鬥的隊友。,54,2,5,47,1
58,場景標記,在場地上設置小隊及團隊可見的標記。,55,4,5,49,3
59,準備確認,確認小隊或團隊的隊員是否準備就緒。,56,6,5,51,5
60,挑戰筆記,查看各種挑戰項目的情況，包括項目的進度以及相應的報酬。項目的完成情況會在每週二的17點（地球時間）重置。,57,8,3,39,5
61,坐騎一覽,查看關於坐騎的各種資訊，也可以直接召喚出坐騎。,58,11,1,11,5
62,寵物一覽,查看關於寵物的各種資訊，也可以直接召喚出寵物。,59,12,1,12,6
63,協助工具設定,查看協助工具設定畫面，包括聲音效果的輔助表現。,60,0,0,0,0
64,探索筆記,查看探索筆記中的記錄情報。,61,2,3,33,-1
65,金碟遊樂園,查看關於金碟遊樂園的各種情報。包括查看競賽陸行鳥的屬性和血統、更換裝備，搭配九宮幻卡的卡組，編輯萌寵之王寵物快速鍵，更改多瑪方城戰的設定等。,62,17,1,17,11
66,貨幣一覽,查看所持Gil以及各種貨幣的數量。,63,5,1,5,-1
67,風脈泉,查看風脈泉的共鳴記錄。,64,1,4,40,-3
68,資訊中心,可以打開連接到«FINAL FANTASY XIV»官方網站內資訊中心頁面的功能表。,65,3,7,69,-2
69,管弦樂琴樂譜集,可以使用管弦樂琴來欣賞的樂曲一覽。獲得樂譜可以追加相應曲目。,67,7,3,38,4
70,初學者學堂,可在這裡對各職能的戰鬥職業（防護職業、治療職業、進攻職業）的基本戰鬥方式進行訓練。會根據當前職能或訓練的進度來給出合適的訓練內容。,66,12,2,30,8
71,物品設定,打開物品設定視窗。,68,0,0,0,0
72,大型任務搜尋器,可以挑戰最新的高難度大型任務。即使未達到規定人數，也可以通過設定詳細條件，和志同道合的玩家們自動組成小隊，進行挑戰。,69,6,2,24,2
73,戰鬥開始倒數,將戰鬥開始倒數設定為任意秒數，並對自己、小隊成員或團隊成員顯示。,70,7,5,52,6
74,戰友列表,查看最近和自己組過隊的玩家。可以向列表中的玩家發送好友申請。,71,11,6,63,8
75,坐騎速度,可以查看各區域騎乘狀態時的地面移動速度。,72,2,4,41,-2
76,任務回顧,可以回顧保存的任務記錄。也可以進行任務記錄的設定。,73,10,2,28,6
77,陸行鳥鞍囊,可以自由存取搭檔陸行鳥的道具。（無法在任務中使用）,74,9,1,9,3
78,戰隊,確認所屬戰隊的各項情報。,75,6,6,58,3
79,記錄準備確認,進行記錄的準備確認和戰鬥開始倒數。只有在可以記錄的任務中才能使用。,76,5,5,50,4
80,跨服通訊貝,可以創建和確認跨服通訊貝，以及和其他伺服器的玩家進行跨服組隊。,77,8,6,60,5
81,青魔法書,可以查看青魔法的學習情況，也可以對已經學會並準備使用的青魔法進行設置。,78,15,1,15,9
82,親信戰友,可以和成為幻體的NPC同伴一起挑戰迷宮。,79,9,2,27,5
83,顏色主題設定,更改視窗的顏色主題。,80,0,0,0,0
84,F.A.T.E.完成度,查看在特定地區完成F.A.T.E.事件的記錄。在對應地區完成F.A.T.E.時取得最高評價的話，記錄的內容會增加。,81,3,4,42,-1
85,同好會,可進行創建同好會、查看所屬同好會情報等操作。,82,9,6,61,6
86,同好招募,可以看到正在招募成員的同好會，並且可以申請加入。,83,2,6,54,-1
87,重要物品,可查看重要物品。,85,2,2,20,-2
88,昔日重現模式,可重新體驗已完成的任務。,84,11,2,29,7
89,時尚配飾,查看關於時尚配飾的各種資訊，也可以直接使用時尚配飾。,86,14,1,14,8
90,官方網站,查看FINAL FANTASY XIV的官方網站。,87,2,7,68,-3
91,劇情輔助器,可以和NPC的輔助隊員一起挑戰迷宮。,89,8,2,26,4
92,肖像列表,查看當前的肖像，還可以編輯各套裝的肖像。,88,4,1,3,-2
93,冒險者銘牌,查看角色的個人資訊，還可以編輯個人資訊、銘牌樣式等內容。,90,3,1,4,-3
94,特殊迷宮探索器,可以設定和申請參加多變迷宮等特殊迷宮的探索器，也可以查看在特殊迷宮中發現的故事。,91,7,2,25,3
95,臉部配件,調整角色裝備的眼鏡形狀和顏色。,92,13,1,13,7
96,禁音名單,查看被列入禁音名單的人，這些人的發言不會被看到。,93,13,6,65,10
97,過濾詞,過濾詞一覽。在此查看、登錄、編輯、刪除過濾詞。,94,14,6,66,11
