#,Description,Alias,ShortAlias,Command,ShortCommand,Unknown0,Param,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5
12,"/魔素板自動 指令
/magiaauto
修改魔素板的自動調整設定。啟用時會在選中目標後自動切換魔素屬性。
>>指令
**攻勢(attack)**
向利於攻擊的屬性自動調整。
**守勢(defense)**
向利於防禦的屬性自動調整。
**關(off)**
關閉自動調整功能。

>>示例
/魔素板自動 攻勢
選中敵人時魔素板會自動切換到有利於攻擊的屬性。",/魔素板自動,,/magiaauto,,0,0,2,1,2,0,0
13,"/跨界貝頻道1(/跨1) 發言內容
/cwlinkshell1、/cwl1
向跨界通訊貝頻道1內的玩家發送聊天消息，無論離多遠、是不是在同一地圖都可以看到。
只輸入「/跨界貝頻道1(/跨1)」可將默認聊天頻道變更為跨界通訊貝頻道1。
>>示例

/跨1 大家好！
在跨界通訊貝頻道1中發送消息「大家好！」。
/跨1
將默認聊天頻道變更為跨界通訊貝頻道1。",/跨界貝頻道1,/跨1,/cwlinkshell1,/cwl1,0,1021,1,0,0,0,0
14,"/跨界貝頻道2(/跨2) 發言內容
/cwlinkshell2、/cwl2
向跨界通訊貝頻道2內的玩家發送聊天消息，無論離多遠、是不是在同一地圖都可以看到。
只輸入「/跨界貝頻道2(/跨2)」可將默認聊天頻道變更為跨界通訊貝頻道2。
>>示例

/跨2 大家好！
在跨界通訊貝頻道2中發送消息「大家好！」。
/跨2
將默認聊天頻道變更為跨界通訊貝頻道2。",/跨界貝頻道2,/跨2,/cwlinkshell2,/cwl2,0,1021,1,0,0,0,0
15,"/跨界貝頻道3(/跨3) 發言內容
/cwlinkshell3、/cwl3
向跨界通訊貝頻道3內的玩家發送聊天消息，無論離多遠、是不是在同一地圖都可以看到。
只輸入「/跨界貝頻道3(/跨3)」可將默認聊天頻道變更為跨界通訊貝頻道3。
>>示例

/跨3 大家好！
在跨界通訊貝頻道3中發送消息「大家好！」。
/跨3
將默認聊天頻道變更為跨界通訊貝頻道3。",/跨界貝頻道3,/跨3,/cwlinkshell3,/cwl3,0,1021,1,0,0,0,0
16,"/跨界貝頻道4(/跨4) 發言內容
/cwlinkshell4、/cwl4
向跨界通訊貝頻道4內的玩家發送聊天消息，無論離多遠、是不是在同一地圖都可以看到。
只輸入「/跨界貝頻道4(/跨4)」可將默認聊天頻道變更為跨界通訊貝頻道4。
>>示例

/跨4 大家好！
在跨界通訊貝頻道4中發送消息「大家好！」。
/跨4
將默認聊天頻道變更為跨界通訊貝頻道4。",/跨界貝頻道4,/跨4,/cwlinkshell4,/cwl4,0,1021,1,0,0,0,0
17,"/跨界貝頻道5(/跨5) 發言內容
/cwlinkshell5、/cwl5
向跨界通訊貝頻道5內的玩家發送聊天消息，無論離多遠、是不是在同一地圖都可以看到。
只輸入「/跨界貝頻道5(/跨5)」可將默認聊天頻道變更為跨界通訊貝頻道5。
>>示例

/跨5 大家好！
在跨界通訊貝頻道5中發送消息「大家好！」。
/跨5
將默認聊天頻道變更為跨界通訊貝頻道5。",/跨界貝頻道5,/跨5,/cwlinkshell5,/cwl5,0,1021,1,0,0,0,0
18,"/跨界貝頻道6(/跨6) 發言內容
/cwlinkshell6、/cwl6
向跨界通訊貝頻道6內的玩家發送聊天消息，無論離多遠、是不是在同一地圖都可以看到。
只輸入「/跨界貝頻道6(/跨6)」可將默認聊天頻道變更為跨界通訊貝頻道6。
>>示例

/跨6 大家好！
在跨界通訊貝頻道6中發送消息「大家好！」。
/跨6
將默認聊天頻道變更為跨界通訊貝頻道6。",/跨界貝頻道6,/跨6,/cwlinkshell6,/cwl6,0,1021,1,0,0,0,0
19,"/跨界貝頻道7(/跨7) 發言內容
/cwlinkshell7、/cwl7
向跨界通訊貝頻道7內的玩家發送聊天消息，無論離多遠、是不是在同一地圖都可以看到。
只輸入「/跨界貝頻道7(/跨7)」可將默認聊天頻道變更為跨界通訊貝頻道7。
>>示例

/跨7 大家好！
在跨界通訊貝頻道7中發送消息「大家好！」。
/跨7
將默認聊天頻道變更為跨界通訊貝頻道7。",/跨界貝頻道7,/跨7,/cwlinkshell7,/cwl7,0,1021,1,0,0,0,0
20,"/跨界貝頻道8(/跨8) 發言內容
/cwlinkshell8、/cwl8
向跨界通訊貝頻道8內的玩家發送聊天消息，無論離多遠、是不是在同一地圖都可以看到。
只輸入「/跨界貝頻道8(/跨8)」可將默認聊天頻道變更為跨界通訊貝頻道8。
>>示例

/跨8 大家好！
在跨界通訊貝頻道8中發送消息「大家好！」。
/跨8
將默認聊天頻道變更為跨界通訊貝頻道8。",/跨界貝頻道8,/跨8,/cwlinkshell8,/cwl8,0,1021,1,0,0,0,0
21,"/圖像設定預設 預設組編號
/graphicpresets、/gpreset
將圖像設定切換為預設設定。

>>預設組編號（1-5）
1：標準品質（筆記型電腦）
2：標準品質（桌上型電腦）
3：高品質（筆記型電腦）
4：高品質（桌上型電腦）
5：最高品質

範例
/圖像設定預設 1
將圖像設定切換為「標準品質（筆記型電腦）」。",/圖像設定預設,,/graphicpresets,/gpresets,0,993,2,0,0,0,0
22,"/同好會
/fellowship、/fs
打開同好會視窗。",/同好會,,/fellowship,/fs,0,32,1,0,0,0,0
23,"/同好招募
/fellowshipfinder、/fsfinder
打開同好招募視窗。",/同好招募,,/fellowshipfinder,/fsfinder,0,32,1,0,0,0,0
24,"/重要物品
/collection、/coll
打開重要物品視窗。",/重要物品,,/collection,/coll,0,32,1,0,0,0,0
25,"/昔日重現模式
/newgame+、/ng+
打開昔日重現模式視窗。",/昔日重現模式,,/newgame+,/ng+,0,32,1,0,0,0,0
26,"/擲骰 聊天頻道 上限值
/dice
從0～999中隨機抽取一個數字發送到目前或指定聊天頻道。
>>可指定頻道：
小隊(party)
團隊(alliance)
公會(freecompany)
戰隊(pvpteam)
通訊貝1-8(linkshell1-8)
跨界貝1-8(cwlinkshell1-8)
省略輸入指定頻道時，會在目前頻道發言。
※設成巨集使用時必須指定聊天頻道。

>>上限值（2～999）
在隨機抽選數字時指定上限值。指定上限值後，數字將從（1～上限值）的範圍內抽選。省略上限值時則從（0～999）的範圍內進行抽選。
>>示例
/擲骰
在目前聊天頻道發送隨機擲骰數字。
/擲骰 16
在目前聊天頻道發送從1～16範圍內的隨機擲骰數字。
/擲骰 跨界貝1
在跨界通訊貝1發送隨機擲骰數字。
/擲骰 跨界貝1 16
在跨界通訊貝1～16中發送隨機擲骰數字。",/擲骰,,/dice,,1000,36,2,1,2,0,0
28,"/名牌顯示 對象 設定代號/nameplatedisp
進行玩家名牌顯示設定。
>>對象
全部(all)
所有玩家為對象
**自己**(self)
自身為對象
**小隊**(party)
小隊成員為對象
**團隊**(alliance)
團隊成員為對象
**他人**(other)
其他人為對象
**好友**(friend)
好友為對象
**水晶衝突**(feast)
水晶衝突中的敵人為對象

>>設定代號1-4
1:一直顯示
2:戰鬥時顯示
3:選定為目標時顯示
4:不顯示

>>範例
/名牌顯示 全部 4
將所有玩家的名牌顯示設定改為不顯示。",/名牌顯示,,/nameplatedisp,,0,36,3,1,2,0,0
29,"/時尚配件 時尚配件名
/fashion
使用指定的時尚配件。

>>示例
/時尚配件 陽傘
使用時尚配件「陽傘」。",/時尚配件,,/fashion,,0,36,2,1,20,0,0
30,"/時尚配件一覽
/fashionlist、/fashionguide
打開時尚配件選單。",/時尚配件一覽,/fashionlist,/fashionguide,,0,32,1,0,0,0,0
31,"/官方網站
/officialsite、/site
打開官方網站選單。",/官方網站,,/officialsite,/site,0,32,1,0,0,0,0
32,"//setGearset
リアルイベント用コマンド。
アーマリーチェスト内のアイテムをもとに、自動的にバトルジョブのギアセットを生成する。",,,//setGearset,,0,32,1,0,0,0,0
33,"/召喚獸投影 召喚獸的名字 外貌
/petmirage、/egimirage
可以改變接下來召喚的召喚獸外貌。
但在PvP任務中無效。
>>召喚獸的名字
卡邦庫爾
迦樓羅-艾基
泰坦-艾基
伊弗利特-艾基
朝日小仙女
>>外貌
卡邦庫爾
卡邦庫爾-綠寶石
卡邦庫爾-黃寶石
卡邦庫爾-紅寶石
伊弗利特-艾基
泰坦-艾基
迦樓羅-艾基
夕月小仙女
**省略外貌或在外貌處輸入「撤除(clear)」**
召喚獸會恢復原狀。
**無指令**
顯示召喚獸的外貌設定列表。

>>示例
/召喚獸投影 迦樓羅-艾基 卡邦庫爾-紅寶石
將迦樓羅-艾基的外貌變成卡邦庫爾-紅寶石。
/召喚獸投影 迦樓羅-艾基
將迦樓羅-艾基的外貌恢復原狀。
/召喚獸投影
顯示召喚獸的外貌設定列表。",/召喚獸投影,/petmirage,/petmirage,,0,36,3,2,7,15,0
34,"/召喚獸尺寸 召喚獸的名字 尺寸
/petsize
變更特定召喚獸的尺寸。
本設定在PvP區域內無效。
另外，本設定只對自身生效，無法改變他人的召喚獸尺寸。

>>召喚獸的名字
亞靈神巴哈姆特
亞靈神鳳凰
伊弗利特-紅寶石
泰坦-黃寶石
迦樓羅-綠寶石
烈日巴哈姆特
全部

>>尺寸
**大**
　將召喚獸的顯示尺寸變為「大」。
**中**
　將召喚獸的顯示尺寸變為「中」。
**小**
　將召喚獸的顯示尺寸變為「小」。
**無指令**
　按「小→中→大」的順序切換設定。當尺寸目標為全部時，返回錯誤。
>>範例
/召喚獸尺寸 亞靈神巴哈姆特 中
　將亞靈神巴哈姆特的尺寸變為「中」。
/召喚獸尺寸 全部 小
　所有召喚獸的顯示尺寸全部變為「小」。",/召喚獸尺寸,,/petsize,,0,36,3,2,7,2,0
35,"/共同騎乘 隊員編號 座位編號
/ridepillion
搭乘所選隊員的坐騎。

>>座位編號（1-7）
坐在指定座位編號的位置上。如果指定的座位已經填滿，則會自動選擇空著的座位。如果省略指令，則會嘗試坐在座位編號1的位置。

>>示例
/共同騎乘 <2> 1
搭乘小隊內編號為2的隊員的坐騎，並坐在座位編號為1的位置。",/共同騎乘,,/ridepillion,,0,36,3,0,0,0,0
36,"/版本更新筆記
/patchnote
打開官方網站中的版本更新筆記頁面。
此時將啟動瀏覽器。",/版本更新筆記,,/patchnote,,1000,32,1,0,0,0,0
37,"/肖像
/portrait
打開肖像編輯選單。",/肖像,,/portrait,,0,32,1,0,0,0,0
38,"/冒險者銘牌
/adventurerplate、/myplate
打開自己的冒險者銘牌。",/冒險者銘牌,,/adventurerplate,/myplate,0,32,1,0,0,0,0
39,"/右鍵不可選中玩家 指令
/rclickpc 
設定右鍵不可選中玩家角色作為目標。
>>指令
**開(on)**
　啟用右鍵不可選中玩家設定。
**關(off)**
　關閉右鍵不可選中玩家設定。
**無指令**
　在開啟與關閉之間切換。",/右鍵不可選中玩家,,/rclickpc,,0,36,2,1,2,0,0
40,"/右鍵不可選中NPC角色 指令
/rclickbattlenpc 
設定右鍵不可選中敵方或我方NPC角色作為目標。
>>指令
**開(on)**
　啟用右鍵不可選中NPC設定。
**關(off)**
　關閉右鍵不可選中NPC設定。
**無指令**
　在開啟與關閉之間切換。",/右鍵不可選中NPC角色,,/rclickbattlenpc,,0,36,2,1,2,0,0
41,"/右鍵不可選中寵物 指令
/rclickminion 
設定右鍵不可選中寵物作為目標。
>>指令
**開(on)**
　啟用右鍵不可選中寵物設定。
**關(off)**
　關閉右鍵不可選中寵物設定。
**無指令**
　在開啟與關閉之間切換。",/右鍵不可選中寵物,,/rclickminion,,0,36,2,1,2,0,0
42,"/臉部配件 「臉部配件名」
/faceaccessory、/facewear
裝備指定的臉部配件。
>>範例
/faceaccessory 橢圓眼鏡
裝備臉部配件「橢圓眼睛」。",/臉部配件,/faceaccessory,/facewear,,0,36,2,1,21,0,0
43,"/禁音列表
/mutelist
打開禁音列表。",/禁音列表,,/mutelist,,0,32,1,0,0,0,0
44,"/過濾詞
/wordfilter、/termfilter
打開過濾詞一覽。",/過濾詞,/wordfilter,/termfilter,,0,32,1,0,0,0,0
45,"/臉部配件選單
/faceaccessorylist、/facewearlist
打開臉部配件選單。",/臉部配件選單,/faceaccessorylist,/facewearlist,,0,32,1,0,0,0,0
46,"/聲音的視覺表現 指令
/visualalerts
設定聲音的視覺表現。
>>指令
**開(on)**
將視覺表現設定為有效。
**關(off)**
將視覺表現設定為無效。
**無指令**
在開啟與關閉之間切換。",/聲音的視覺表現,,/visualalerts,,0,509,2,1,2,0,0
47,"/色覺多樣性 指令
/colorfiltering
設定色覺多樣性：顏色輔助。
>>指令
**開(on)**
將色覺多樣性：顏色輔助設定為有效。
**關(off)**
將色覺多樣性：顏色輔助設定為無效。
**無指令**
在開啟與關閉之間切換。",/色覺多樣性,,/colorfiltering,,0,509,2,1,2,0,0
48,"/自動選中目標 指令
/autotargetpriority
設置發動敵對性質技能時自動選中目標。
>>指令
**開(on)**
將發動敵對性質技能時自動選中目標設定為有效。
**關(off)**
將發動敵對性質技能時自動選中目標設定為無效。
**無指令**
在開啟與關閉之間切換。",/自動選中目標,,/autotargetpriority,,0,36,2,1,2,0,0
91,"/戰隊頻道(/戰) 發言內容
/pvpteam、/pt
向同一戰隊內的全體成員發送聊天消息，無論離多遠、無論在哪個地區都可以看到。
只輸入「/戰隊頻道(/戰)」可將默認聊天頻道變更為戰隊頻道。
>>示例

/戰 我來啦！
在戰隊頻道中發送消息「我來啦！」。
/戰
將默認聊天頻道變更為戰隊頻道。",/戰隊頻道,/戰,/pvpteam,/pt,0,1021,1,0,0,0,0
92,"/跨界貝頻道(/跨) 發言內容
/cwlinkshell、/cwl
向常用跨界通訊貝內的玩家發送聊天消息，無論離多遠、是不是在同一地圖都可以看到。
只輸入「/跨界貝頻道(/跨)」可將默認聊天頻道變更為常用跨界通訊貝頻道。
>>示例

/跨 大家好！
在常用跨界通訊貝頻道中發送消息「大家好！」。
/跨
將默認聊天頻道變更為常用跨界通訊貝頻道。",/跨界貝頻道,/跨,/cwlinkshell,/cwl,0,1021,1,0,0,0,0
101,"/新人頻道(/新) 發言內容
/beginner、/b
向參加新人頻道的所有玩家發送聊天消息，無論離多遠、是不是在同一地圖都可以看到。
只輸入「/新人頻道(/新)」可將默認聊天頻道變更為新人頻道。
>>示例
/新人頻道 你好。
在新人頻道發送「你好。」的聊天消息。
/新人頻道
將默認聊天頻道變更為新人頻道。",/新人頻道,/新,/beginner,/b,0,1021,1,0,0,0,0
102,"/說話頻道(/說) 發言內容
/say、/s
讓身邊小範圍內的玩家看到自己的發言。
只輸入「/說話頻道(/說)」可將默認聊天頻道變更為說話頻道。",/說話頻道,/說,/say,/s,0,1023,1,0,0,0,0
103,"/喊話頻道(/喊) 發言內容
/shout、/sh
讓目前所在區域的所有玩家看到自己的發言。",/喊話頻道,/喊,/shout,/sh,0,1021,1,0,0,0,0
104,"/悄悄話頻道(/悄) 玩家名@World名 發言內容
/tell、/t
向和自己屬於同一 World的指定玩家發送聊天消息。
跨界發送時只能對好友或正在募集隊員的隊長生效。
只輸入「/悄悄話頻道(/悄) 玩家名@World」可將默認聊天頻道變更為對該玩家的悄悄話頻道。
>>示例
/悄 阿魯瑪@鳳凰 你好。
對鳳凰 World的阿魯瑪發送「你好。」的聊天消息。",/悄悄話頻道,/悄,/tell,/t,0,1021,3,0,0,0,0
105,"/小隊頻道(/隊) 發言內容
/party、/p
向同一小隊內的全體成員發送聊天消息，無論離多遠、是不是在同一地圖都可以看到。
只輸入「/小隊頻道(/隊)」可將默認聊天頻道變更為小隊頻道。",/小隊頻道,/隊,/party,/p,0,1021,1,0,0,0,0
106,"/通訊貝頻道(/訊) 發言內容
/linkshell、/l
向常用通訊貝內的玩家發送聊天消息，無論離多遠、是不是在同一地圖都可以看到。
只輸入「/通訊貝頻道(/訊)」可將默認聊天頻道變更為常用通訊貝頻道。",/通訊貝頻道,/訊,/linkshell,/l,0,1021,1,0,0,0,0
107,"/通訊貝頻道1(/訊1) 發言內容
/linkshell1、/l1
向１號通訊貝內的玩家發送聊天信息，無論離多遠、無論在哪個地區都可以看到。",/通訊貝頻道1,/訊1,/linkshell1,/l1,0,1021,1,0,0,0,0
108,"/通訊貝頻道2(/訊2) 發言內容
/linkshell2、/l2
向２號通訊貝內的玩家發送聊天信息，無論離多遠、無論在哪個地區都可以看到。",/通訊貝頻道2,/訊2,/linkshell2,/l2,0,1021,1,0,0,0,0
109,"/通訊貝頻道3(/訊3) 發言內容
/linkshell3、/l3
向３號通訊貝內的玩家發送聊天信息，無論離多遠、無論在哪個地區都可以看到。",/通訊貝頻道3,/訊3,/linkshell3,/l3,0,1021,1,0,0,0,0
110,"/通訊貝頻道4(/訊4) 發言內容
/linkshell4、/l4
向４號通訊貝內的玩家發送聊天信息，無論離多遠、無論在哪個地區都可以看到。",/通訊貝頻道4,/訊4,/linkshell4,/l4,0,1021,1,0,0,0,0
111,"/通訊貝頻道5(/訊5) 發言內容
/linkshell5、/l5
向５號通訊貝內的玩家發送聊天信息，無論離多遠、無論在哪個地區都可以看到。",/通訊貝頻道5,/訊5,/linkshell5,/l5,0,1021,1,0,0,0,0
112,"/通訊貝頻道6(/訊6) 發言內容
/linkshell6、/l6
向６號通訊貝內的玩家發送聊天信息，無論離多遠、無論在哪個地區都可以看到。",/通訊貝頻道6,/訊6,/linkshell6,/l6,0,1021,1,0,0,0,0
113,"/通訊貝頻道7(/訊7) 發言內容
/linkshell7、/l7
向７號通訊貝內的玩家發送聊天信息，無論離多遠、無論在哪個地區都可以看到。",/通訊貝頻道7,/訊7,/linkshell7,/l7,0,1021,1,0,0,0,0
114,"/通訊貝頻道8(/訊8) 發言內容
/linkshell8、/l8
向８號通訊貝內的玩家發送聊天信息，無論離多遠、無論在哪個地區都可以看到。",/通訊貝頻道8,/訊8,/linkshell8,/l8,0,1021,1,0,0,0,0
115,"/公會頻道(/公) 發言內容
/freecompany、/fc
向同一公會內的全體成員發送聊天消息，無論離多遠、無論在哪個地區都可以看到。
只輸入「/公會頻道(/公)」可將默認聊天頻道變更為公會頻道。",/公會頻道,/公,/freecompany,/fc,0,1021,1,0,0,0,0
116,"/默語(/默) 發言內容
/echo、/e
顯示只有自己能看到的發言內容。",/默語,/默,/echo,/e,0,1021,1,0,0,0,0
117,"/呼喊頻道(/呼) 發言內容
/yell、/y
讓身邊大範圍內的玩家看到自己的發言。
只輸入「/呼喊頻道(/呼)」可將默認聊天頻道變更為呼喊頻道。",/呼喊頻道,/呼,/yell,/y,0,1021,1,0,0,0,0
118,"/回答(/回) 發言內容
/reply、/r
向最後一次收到悄悄話的玩家發送聊天消息。",/回答,/回,/reply,/r,0,1021,1,0,0,0,0
119,"/團隊頻道(/團) 發言內容
/alliance、/a
向同一團隊的全體成員發送聊天消息，無論離多遠、無論在哪個地區都可以看到。
只輸入「/團隊頻道(/團)」可將默認聊天頻道變更為團隊頻道。",/團隊頻道,/團,/alliance,/a,0,1021,1,0,0,0,0
121,"/參加
/join
接受組隊邀請。",/參加,,/join,,0,4,1,0,0,0,0
122,"/拒絕
/decline
拒絕組隊邀請。",/拒絕,,/decline,,0,4,1,0,0,0,0
123,"/邀請 代名詞
/invite
邀請指定玩家加入小隊。省略代名詞可以把目前所選中的玩家作為對象。",/邀請,,/invite,,0,4,2,0,0,0,0
124,"/移除 代名詞
/kick
將指定玩家移除小隊。省略代名詞可以把目前所選中的玩家作為對象。",/移除,,/kick,,0,4,2,0,0,0,0
125,"/隊長 代名詞
/leader
將隊長轉讓給指定玩家。省略代名詞可以把目前所選中的玩家作為對象。",/隊長,,/leader,,0,4,2,0,0,0,0
126,"/退隊
/leave
退出小隊。",/退隊,,/leave,,0,4,2,0,0,0,0
131,"/查看 代名詞
/check、/c
查看指定玩家的情報。省略代名詞可以查看目前選中的目標。",/查看,,/check,/c,0,160,2,0,0,0,0
132,"/交易 代名詞
/trade
向指定玩家申請交易。省略代名詞可以向目前選中的目標發起交易申請。",/交易,,/trade,,0,32,2,0,0,0,0
133,"/自動前進(/前進) 指令
/automove
向目前面對的方向自動前進。
>>指令
**開(on)**
　開啟自動前進。
**關(off)**
　關閉自動前進。
**無指令**
　在開啟與關閉之間切換。",/自動前進,/前進,/automove,,0,36,2,1,2,0,0
134,"/跟隨 代名詞
/follow
自動跟隨指定玩家。省略代名詞可以跟隨目前選中的目標。",/跟隨,,/follow,,0,36,2,0,0,0,0
136,"/委託鑲嵌 代名詞
/meldrequest
向指定玩家發送魔晶石鑲嵌委託。省略代名詞可以向目前選中的玩家發送魔晶石鑲嵌委託。",/委託鑲嵌,,/meldrequest,,0,32,2,0,0,0,0
141,"/角色(/裝備)
/character、/gear
打開角色視窗。",/角色,/裝備,/character,/gear,0,32,1,0,0,0,0
142,"/日誌
/journal
打開日誌。",/日誌,,/journal,,0,32,1,0,0,0,0
143,"/任務搜尋器(/任務)
/dutyfinder、/dfinder
打開任務搜尋器。",/任務搜尋器,/任務,/dutyfinder,/dfinder,0,800,1,0,0,0,0
144,"/兵裝庫(/兵裝)
/armourychest、/armoury
打開兵裝庫。",/兵裝庫,/兵裝,/armourychest,/armoury,0,32,1,0,0,0,0
145,"/討伐筆記(/討伐)
/huntinglog、/hlog
打開討伐筆記。",/討伐筆記,/討伐,/huntinglog,/hlog,0,32,1,0,0,0,0
146,"/製作筆記(/製作)
/craftinglog、/clog
打開製作筆記。",/製作筆記,/製作,/craftinglog,/clog,0,0,1,0,0,0,0
147,"/採集筆記(/採集)
/gatheringlog、/glog
打開採集筆記。",/採集筆記,/採集,/gatheringlog,/glog,0,0,1,0,0,0,0
148,"/釣魚筆記(/釣魚)
/fishinglog、/flog
打開釣魚筆記。",/釣魚筆記,/釣魚,/fishinglog,/flog,0,32,1,0,0,0,0
149,"/成就
/achievements
打開成就列表。",/成就,,/achievements,,0,32,1,0,0,0,0
150,"/小隊命令(/小隊) 指令
/partycmd、/pcmd
執行各種組隊指令。
※跨界組隊時僅會打開小隊隊員視窗以及使用「加入」指令。
>>指令
**加入(add) 代名詞**
　邀請指定玩家加入小隊。
**接受(accept)**
　接受小隊發來的邀請。
**拒絕(deny)**
　拒絕小隊發來的邀請。
**隊長(leader) 代名詞**
　將小隊隊長轉讓給指定玩家。
**退隊(leave)**
　退出已加入的小隊。
**移除(kick) 代名詞**
　將指定隊員移除出小隊。
**解散(breakup)**
　解散小隊。
**無指令**
　打開小隊隊員視窗。",/小隊命令,/小隊,/partycmd,/pcmd,0,32,3,1,2,0,0
151,"/好友命令(/好友) 指令
/friendlist、/flist
執行各種好友名單相關指令。
>>指令
**加入(add) 代名詞**
　向指定玩家發送好友申請。
**接受(accept) 代名詞**
　接受指定玩家發來的好友申請。
**拒絕(deny) 代名詞**
　拒絕指定玩家發來的好友申請。
**清除(remove) 代名詞**
　將指定玩家移出好友名單。
**無指令**
　打開好友名單。",/好友命令,/好友,/friendlist,/flist,0,128,3,1,2,0,0
152,"/黑名單命令(/黑名單) 指令
/blacklist、/blist
執行各種黑名單相關指令。
>>指令
**加入(add) 代名詞**
　將指定玩家關聯的帳號添加到黑名單中。
**清除(remove) 代名詞**
　將指定玩家關聯的帳號移出黑名單。
**無指令**
　打開黑名單。",/黑名單命令,/黑名單,/blacklist,/blist,0,0,3,1,2,0,0
