#,Text,Unknown0,Unknown1,TYPE,PARAM,LINK
60,"該帳號的可創建角色數量已經達到上限。只有刪除現有的角色才能繼續創建新角色。
在角色名稱的右鍵選單中選擇刪除即可將角色資料刪除。",,,0,0,0
61,"在各個伺服器中所開通的角色已經到達數量上限，無法繼續創建新角色。只有刪除任意伺服器的一名現有的角色才能繼續創建新角色。
在角色名稱的右鍵選單中選擇刪除即可將角色資料刪除。",,,0,0,0
62,該伺服器中創建的角色已經到達數量上限。,,,0,0,0
63,"該伺服器中現在對創建新角色進行了限制。
請等待限制解除後再開始創建，或到其他伺服器中創建新角色。",,,0,0,0
64,目前帳號無法使用該角色。,,,0,0,0
65,可以有一次機會修改角色的種族、性別、外貌及姓名。,,,0,0,0
66,請在取得角色情報後修改僱員的名字。,,,0,0,0
67,可以修改角色的種族、性別、外貌等。 (剩餘UNKNOWN分鐘),,,0,0,0
68,無法登入，該角色處於«»的區域。,,,0,0,0
69,無法修改種族、性別及外貌，該角色處於«»的區域。,,,0,0,0
70,該角色為«FINAL FANTASY XIV»1.0版的繼承角色。使用該角色進入遊戲需要重新設定初始戰鬥職業。,,,0,0,0
71,確定,,,0,0,0
72,取消,,,0,0,0
73,"初始戰鬥職業設定為「」。
遊戲開始時的城市為「」。",,,0,0,0
74,確定,,,0,0,0
75,取消,,,0,0,0
76,該角色為«FINAL FANTASY XIV»1.0版的繼承角色。使用該角色進入遊戲需要重新設定初始戰鬥職業，同時角色的種族、性別、外貌以及姓名也會有一次修改的機會。,,,0,0,0
77,現在進行編輯,,,0,0,0
78,以後進行編輯,,,0,0,0
79,重新編輯角色,,,0,0,0
80,使用已儲存的形象創建新角色,,,0,0,0
81,儲存角色形象,,,0,0,0
82,使用已儲存的角色形象,,,0,0,0
83,"為減緩登入壓力，暫時簡化角色情報顯示。
如需編輯角色外貌或改名，
可透過右鍵選單選擇「取得角色情報」。",,,0,0,0
84,"歡迎來到«FINAL FANTASY XIV»的世界。
請創建一個新角色來開始您的冒險。",,,0,0,0
85,確定,,,0,0,0
86,"歡迎來到«FINAL FANTASY XIV»的世界。
請選擇已有角色或創建新角色來開始您的冒險。
目前所選的伺服器UNKNOWN中已經創建了UNKNOWN個角色。
點擊右上的選擇按鈕可以切換世界伺服器。",,,0,0,0
87,確定,,,0,0,0
88,請選擇伺服器。,,,0,0,0
89,伺服器所在地區分為兩組，請根據您的居住地和網路情況選擇合適的伺服器。,,,0,0,0
90,,,,0,900,0
91,,,,0,900,0
92,,,,0,0,0
93,,,,0,0,0
94,,,,0,1200,0
95,"要以UNKNOWN登入嗎？

**該角色正在其他伺服器遊玩。
透過利姆薩·羅敏薩、格里達尼亞、烏爾達哈的乙太之光可以隨時返回原始伺服器。**",,,0,0,0
96,"要以UNKNOWN登入嗎？

**該角色正在非原始DC遊玩。
想要返回原始伺服器時，
可以在登入前角色名稱的右鍵選單中
選擇「返回原始伺服器」。**",,,0,0,0
97,,,,0,120,0
98,,,,0,0,0
99,"

基礎能力值： 力量 UNKNOWN/靈巧 UNKNOWN/耐力 UNKNOWN/智力 UNKNOWN/精神 UNKNOWN",,,0,0,0
100,? ? ?,,,0,0,0
101,種族&性別,種族,,0,0,0
102,部族,部族,,0,0,0
103,性別,性別,,0,0,0
104,外貌,ルックス,,0,0,0
105,命名日,誕生日,,0,0,0
106,守護神,守護神,,0,0,0
107,職業,クラス,,0,0,0
108,原始伺服器,ワールド,,0,0,0
109,姓名,名前,,0,0,0
110,人族 男,,"與其他種族相比，人族的體型在各方面都處於平均水準。
雖然在古代，艾奧傑亞地區的人族數量並不是很多，
不過歷經從大約一千年前開始的前後三次大遷移之後，
人族現已成為艾奧傑亞人口最多的種族。
不過由於人口眾多，即使是相同的種族有著不同的祖先，
所以他們的種族意識相當低，相比起來更加注重個人的自由。",0,0,0
111,,,,0,0,0
112,精靈族 男,,"精靈族的主要特徵是較長的四肢和瘦高的身體。
精靈族是曾經主宰艾奧傑亞地區的原住民，有著非常高的自豪感。
雖然在過去精靈族曾經與大量遷徙而來的人類進行過激烈的戰鬥，
不過現在雙方已經互相理解，並且共同走上了發展之路。
與人族比起來，精靈族的平均壽命會長一些，這也是他們的特徵之一。",0,0,0
113,,,,0,0,0
114,拉拉菲爾族 男,,"矮矮的胖胖的是拉拉菲爾族給其他人的第一感覺。
在主要種族中，拉拉菲爾族的體型最為小巧，看起來幾乎像小孩子一樣。
可以說在其他種族的眼裡，他們的年齡是最難推測的。
拉拉菲爾族原本是南洋群島的農耕種族，
後來發展到大航海時代，他們為了擴大貿易而來到艾奧傑亞。
在對外方面，拉拉菲爾人對任何種族都能夠積極進行交流，
無論和哪個種族都建立起了良好的關係。",0,0,0
115,,,,0,0,0
116,貓魅族 男,,"高揚的耳朵與柔軟的尾巴是貓魅族的特點。
在第五靈災「大冰雪時代」，有一支狩獵種族為了追捕獵物而渡過了海洋，
貓魅族正是這成功到達艾奧傑亞的勇敢種族的後裔。
不過也因為這個原因，種族人數在艾奧傑亞地區屬於少數。
他們在族內的領地意識也很強，所以即使是成為了城邦居民，
大多數貓魅人也還是喜歡獨居生活。
尤其是男性貓魅族人，在避免接觸他人這點上來說有著極強的傾向。",0,0,0
117,,,,0,0,0
118,魯加族 男,,"魯加族的體型非常巨大，處處體現出堅實和厚重的感覺。
魯加族是曾經在北洋拼搏的海洋種族的後裔，
他們的祖先多數是駕駛著長船來到艾奧傑亞的。
雖然魯加族比拼勇猛的習俗在其他種族看來會有些野蠻，
不過他們重情重義的忠厚一面也廣為人知，
歷史上也曾經出現過諸多偉大的武者。",0,0,0
119,,,,0,0,0
120,中原之民,,"即使是在人口眾多的人族中，中原之民的數量也達到了一半以上。
雖然部族名字的由來是因為多數人來自低地，不過其實也有很多不同。
在各地的城鎮和村莊裡都有中原之民的身影，他們從事著各種各樣的行業。",0,0,0
121,,,,0,0,0
122,高地之民,,"高地之民是人族的一支部族，曾以基拉巴尼亞高地地區為領地。
高地之民的體格比中原之民要健壯，而且他們也很以自己的強健肉體為傲。
隨著要塞城邦阿拉米格的淪陷，失去了祖國的流民流離到各地，
在貿易城邦烏爾達哈中也有很多阿拉米格的難民。",0,0,0
123,,,,0,0,0
124,森林之民,,"森林之民是自古以來就以黑衣森林地帶為據點的部族。
多數人在伊修加爾德城邦和格里達尼亞城邦建國之後就一直居住其中。
森林之民喜好秩序，尊重規律，不過這一點卻總被其他種族誤解為高傲。",0,0,0
125,,,,0,0,0
126,黑影之民,,"黑影之民在過去幾百年內一直以森林地帶中那些昏暗的鐘乳洞為據點。
他們的祖先在格里達尼亞城邦建國時與主流派的森林之民決裂，
一直過著陰暗的穴居生活。
黑影之民不喜歡被約束，即使是現在，與城邦保持距離的人也不在少數。",0,0,0
127,,,,0,0,0
128,平原之民,,"平原之民是遷移到拉諾西亞適合耕種的平原地區生活的部族。
雖然大多數人都從事農業，不過以海洋城邦利姆薩·羅敏薩為據點，
從事海運及漁業的人也不少。
平原之民通常都是處於悠閒自得逍遙自在的狀態。",0,0,0
129,,,,0,0,0
130,沙漠之民,,"沙漠之民是遷移到薩納蘭荒涼的沙漠地帶生活的部族。
他們建立起了烏爾達哈貿易城邦，以擅於經商聞名於世。
沙漠之民傾向於有了想法便立刻動手去做，基本都是實踐主義者，
這種性格對於他們捕捉商機也帶來了很大幫助。",0,0,0
131,,,,0,0,0
132,逐日之民,,"逐日之民通常自稱為「太陽的使者」，信仰太陽神阿澤瑪的信徒很多。
雖然從艾奧傑亞整體來看，這一種族的總人口數量很少，
不過在利姆薩·羅敏薩，卻有著相當一部分已經融入了和其他種族共同生活的環境中。
此外，據說這一種族內還有一部分氏族生活在撒溝厲沙漠等邊境地區。",0,0,0
133,,,,0,0,0
134,護月之民,,"護月之民通常自稱為「月亮的守衛」，信仰月亮神梅茵菲娜的信徒很多。
他們主要在黑衣森林過著狩獵生活，也因此與將他們視為偷獵者的
格里達尼亞居民長年處於對立的狀態。
不過近年來似乎有所和解，現在也有一部分人生活在城邦內。",0,0,0
135,,,,0,0,0
136,北洋之民,,"北洋之民曾是以「海狼」之名從北方的海域侵襲而來的海盜。
現在作為構成海洋城邦利姆薩·羅敏薩的主要部族，
多數人都在從事著水手及水兵一類的工作。
北洋之民一直遵從著古老的傳統習慣，他們的名字也是由古魯加語而來。",0,0,0
137,,,,0,0,0
138,紅焰之民,,"紅焰之民是聚居在北阿巴拉提亞山脈的少數部族。
因為很多人都從事著傳統的傭兵產業，所以他們把名字改成了
便於記憶的通用語形式。
現在在烏爾達哈也經常能看到紅焰之民活躍在劍鬥士和保鑣等領域中。",0,0,0
139,,,,0,0,0
140,敖龍族 男,,"敖龍族來自東洲奧薩德次大陸。
這一種族最大的特徵是頭部明顯的雙角和一部分鱗質化的皮膚。
頭上的角是他們引以為傲的特徵，同時也有著聽覺和空間認知的作用。
雖然有種說法說這個東方的種族是龍的傳人，
但是現在的學術界仍然對這種說法有著極大的爭議。
學者們聲稱人和龍是不同的物種，完全沒有融合的可能。
最為關鍵的證據便是龍族的角沒有聽覺和空間認知能力。
敖龍族的男性通常身材高大魁梧，女性則小巧可人，
這也是龍族所不具備的另一特徵。",0,0,0
141,,,,0,0,0
142,晨曦之民,,"在敖龍族的創世神話中，所有的族人都由晨曦之父與暮暉之母所生。
晨曦之民除了身上帶有發出微弱光芒的白色鱗片之外，
還繼承了晨曦之父安靜堅忍的性格。
晨曦之民原本居住在東洲邊境的溪谷地帶，
近年透過海路來到了艾奧傑亞。",0,0,0
143,,,,0,0,0
144,暮暉之民,,"在敖龍族的創世神話中，所有的族人都由晨曦之父與暮暉之母所生。
暮暉之民除了身上帶有發出微弱光芒的黑色鱗片之外，
還繼承了暮暉之母勇猛好鬥的性格。
暮暉之民基本上居無定所，
總是以家庭為單位不斷地從一個地方流浪到另一個地方。",0,0,0
145,,,,0,0,0
146,,,,0,0,0
147,,,,0,0,0
148,,,,0,0,0
149,,,,0,0,0
150,,,,0,0,0
151,,,,0,0,0
152,自訂,,,0,0,0
153,,,,0,0,0
154,哈羅妮,,,0,0,0
155,冰河與戰爭女神,,,0,0,0
156,梅茵菲娜,,,0,0,0
157,雙月與慈愛女神,,,0,0,0
158,沙利亞克,,,0,0,0
159,河流與知識之神,,,0,0,0
160,妮美雅,,,0,0,0
161,行星與命運之神,,,0,0,0
162,利姆萊茵,,,0,0,0
163,海洋與航海女神,,,0,0,0
164,奧修昂,,,0,0,0
165,山岳與放浪之神,,,0,0,0
166,比爾格,,,0,0,0
167,建築與工藝之神,,,0,0,0
168,拉爾戈,,,0,0,0
169,彗星與破壞之神,,,0,0,0
170,阿澤瑪,,,0,0,0
171,太陽與審理女神,,,0,0,0
172,納爾札爾,,,0,0,0
173,地底與商貿之神,,,0,0,0
174,諾菲卡,,,0,0,0
175,大地與豐饒女神,,,0,0,0
176,阿爾基克,,,0,0,0
177,重力與光陰之神,,,0,0,0
178,劍術士, ,"從短劍到長劍，從雙刃的直劍到單刃的彎刀，
劍術士能夠使用一切單手劍與敵人在近距離一決高下。
劍術士的技巧以守勢為主，首先將敵人牢牢牽制住，
利用盾牌擋下對方的進攻，再用手中的利劍進行回擊。
在團隊作戰中，劍術士一向勇敢地衝在隊伍的最前方，
成為整個隊伍的堅盾，在敵人的攻擊中保護同伴不受傷害。

以劍術士為初始職業的特職：騎士
開始地點：烏爾達哈",0,230904,0
179,,,,0,0,0
180,格鬥士, ,"格鬥士是修練傳統護身術的戰士。
其經過鍛鍊的拳腳已經擁有超於常人的力量，
裝備格鬥武器之後更是如虎添翼，甚至能夠使破壞力加倍。
由於甲胄會妨礙身體活動，所以格鬥士們向來輕裝上陣。
降低防禦力的同時增強的靈活性及攻擊力會令任何敵人為之震顫。

以格鬥士為初始職業的特職：武僧
開始地點：烏爾達哈",0,230905,0
181,,,,0,0,0
182,斧術士, ,"「大斧」通常是海盜們在破壞敵船或強襲登陸時使用的武器，
斧術士則是以使用這種高破壞性武器為主的專家。
雖然大斧給人以很強烈的傳統海盜武器的印象，
但是由於在戰爭以及討伐魔物時都有著非常出色的表現，
所以也有很多斧術士被尊為英雄留下了英名。
豪爽的戰鬥方式及出眾的破壞力，令斧術士能夠深陷敵陣仍悠然自得。

以斧術士為初始職業的特職：戰士
開始地點：利姆薩·羅敏薩",0,230906,0
183,,,,0,0,0
184,槍術士, ,"槍術士以雙手長槍等刺殺武器為主，是身手矯健的戰士。
曾經在強盛的阿拉米格尖槍兵的影響下，出現過一段競爭槍柄長度的風潮，
不過現在已經發展成多種長槍混合使用了。
想要將長柄武器掌握得隨心所欲可不是一件簡單的事情。
不過，一旦能夠掌握其技巧，便可用猶如狂風暴雨般的身手橫掃戰場。

以槍術士為初始職業的特職：龍騎士
開始地點：格里達尼亞",0,230907,0
185,,,,0,0,0
186,弓術士, ,"弓術士的主旨為利用手中弓箭從遠距離外進行狙殺及曲射。
在艾奧傑亞，最普及的弓術有兩種，
分別為精靈族弓兵所擅長的長弓術及貓魅族獵人代代相傳的短弓術。
理解並掌握每種弓的特性，以及選准有利的位置，是成為一名弓術士的第一步。
一旦將技巧熟練掌握之後，戰場上就可以帶來如雨般的飛箭。

以弓術士為初始職業的特職：吟遊詩人
開始地點：格里達尼亞",0,230908,0
187,,,,0,0,0
188,幻術士, ,"幻術士能夠使用幻術魔法，這是一種受到屬性影響很強烈的魔法。
透過感受自身周圍萬物，可以發現土、風、水等自然屬性。
攜帶上以自然物為素材做出的魔器「幻具」，
便可以將自己的乙太與周圍的元素轉換成魔法。
由於幻術士都很擅長恢復及強化等施展到肉體身上的魔法，
所以高級幻術士同時也是一名優秀的醫療能手。

以幻術士為初始職業的特職：白魔道士
開始地點：格里達尼亞",0,230909,0
189,,,,0,0,0
190,咒術士, ,"所謂咒術，是指利用自身的消極性情而發動的魔法。
咒術士能夠透過觀測自己的內心本性，將心中蘊藏的神秘力量發動出來。
咒術士所持有的魔器被稱為「咒具」，是將念珠嵌入到笏板之中構成。
並以念珠為集中點注入乙太力，便可發動出破壞性極強的魔法。

以咒術士為初始職業的特職：黑魔道士
開始地點：烏爾達哈",0,230910,0
191,,,,0,0,0
192,巴術士, ,"巴術士能夠透過秘術來操縱特定的使魔。
巴術以南洋傳來的算術為源頭，透過獨特的幾何學圖形「魔紋」來控制精神力。
平時巴術士都會攜帶描繪有多種魔紋的「魔導書」以便隨時變更乙太的流動。
另外，在解開寶珠的神秘原理後，透過特定的魔紋還能夠召喚出卡邦庫爾靈獸。

以巴術士為初始職業的特職：召喚士、學者（治療職業）
開始地點：利姆薩·羅敏薩",0,230929,0
193,,,<nil>,0,0,0
194,鍛造師,,不要：新生ではキャラメイクで選択できるのは戦闘職のみ。,0,0,0
195,,,,0,0,0
196,採掘師,,不要：新生ではキャラメイクで選択できるのは戦闘職のみ。,0,0,0
197,,,,0,0,0
198,,,,0,0,0
199,,,,0,0,0
200,預設,,,0,0,0
201,身高,,,0,0,0
202,膚色,,,0,0,0
203,聲音,,,0,0,0
204,體型,,,0,0,0
205,,,,0,0,0
206,,,,0,0,0
207,體型,,,0,0,0
208,,,,0,0,0
209,胸圍,,,0,0,0
210,耳朵大小,,,0,0,0
211,耳朵形狀,,,0,0,0
212,,,,0,0,0
213,耳朵大小,,,0,0,0
214,耳朵形狀,,,0,0,0
215,胸圍,,,0,0,0
216,耳朵大小,,,0,0,0
217,耳朵形狀,,,0,0,0
218,,,,0,0,0
219,耳朵大小,,,0,0,0
220,耳朵形狀,,,0,0,0
221,胸圍,,,0,0,0
222,尾巴長度,,,0,0,0
223,尾巴形狀,,,0,0,0
224,,,,0,0,0
225,尾巴長度,,,0,0,0
226,尾巴形狀,,,0,0,0
227,胸圍,,,0,0,0
228,體型,,,0,0,0
229,,,,0,0,0
230,,,,0,0,0
231,體型,,,0,0,0
232,,,,0,0,0
233,胸圍,,,0,0,0
234,髮型,,,0,0,0
235,頭髮特徵,,,0,0,0
236,髮色,,,0,0,0
237,挑染,,,0,0,0
238,臉部,,,0,0,0
239,臉部特徵,,,0,0,0
240,臉部特徵顏色,,,0,0,0
241,臉部輪廓,,,0,0,0
242,眉毛,,,0,0,0
243,眼睛,,,0,0,0
244,眼瞳,,,0,0,0
245,瞳色,,,0,0,0
246,鼻型,,,0,0,0
247,嘴型,,,0,0,0
248,唇色,,,0,0,0
249,面妝,,,0,0,0
250,面妝顏色,,,0,0,0
251,確定,,,0,0,0
252,臉部,,,0,0,0
253,尾巴長度,,,0,0,0
254,尾巴形狀,,,0,0,0
255,,,,0,0,0
256,尾巴長度,,,0,0,0
257,尾巴形狀,,,0,0,0
258,胸圍,,,0,0,0
259,,,,0,0,0
260,,,,0,0,0
261,,,,0,0,0
262,,,,0,0,0
263,,,,0,0,0
264,,,,0,0,0
265,最矮,,,0,0,0
266,較矮,,,0,0,0
267,標準,,,0,0,0
268,較高,,,0,0,0
269,最高,,,0,0,0
270,約UNKNOWN.UNKNOWN釐米,,,0,0,0
271,,,,0,0,0
272,,,,0,0,0
273,,,,0,0,0
274,,,,0,0,0
275,類型1,,,0,0,0
276,類型2,,,0,0,0
277,類型3,,,0,0,0
278,類型4,,,0,0,0
279,類型5,,,0,0,0
280,類型6,,,0,0,0
281,類型7,,,0,0,0
282,類型8,,,0,0,0
283,類型9,,,0,0,0
284,類型10,,,0,0,0
285,類型11,,,0,0,0
286,類型12,,,0,0,0
287,,,,0,0,0
288,,,,0,0,0
289,,,,0,0,0
290,非常瘦弱,,,0,0,0
291,比較瘦弱,,,0,0,0
292,標準,,,0,0,0
293,比較強壯,,,0,0,0
294,非常強壯,,,0,0,0
295,,,,0,0,0
296,,,,0,0,0
297,,,,0,0,0
298,,,,0,0,0
299,,,,0,0,0
300,,,,0,0,0
301,,,,0,0,0
302,,,,0,0,0
303,,,,0,0,0
304,,,,0,0,0
305,非常瘦弱,,,0,0,0
306,比較瘦弱,,,0,0,0
307,標準,,,0,0,0
308,比較強壯,,,0,0,0
309,非常強壯,,,0,0,0
310,,,,0,0,0
311,,,,0,0,0
312,,,,0,0,0
313,,,,0,0,0
314,,,,0,0,0
315,最小,,,0,0,0
316,較小,,,0,0,0
317,標準,,,0,0,0
318,較大,,,0,0,0
319,最大,,,0,0,0
320,最短,,,0,0,0
321,較短,,,0,0,0
322,標準,,,0,0,0
323,較長,,,0,0,0
324,最長,,,0,0,0
325,類型1,,,0,0,0
326,類型2,,,0,0,0
327,類型3,,,0,0,0
328,類型4,,,0,0,0
329,,,,0,0,0
330,,,,0,0,0
331,,,,0,0,0
332,,,,0,0,0
333,,,,0,0,0
334,,,,0,0,0
335,最短,,,0,0,0
336,較短,,,0,0,0
337,標準,,,0,0,0
338,較長,,,0,0,0
339,最長,,,0,0,0
340,類型1,,,0,0,0
341,類型2,,,0,0,0
342,類型3,,,0,0,0
343,類型4,,,0,0,0
344,,,,0,0,0
345,最小,,,0,0,0
346,較小,,,0,0,0
347,標準,,,0,0,0
348,較大,,,0,0,0
349,最大,,,0,0,0
350,最短,,,0,0,0
351,較短,,,0,0,0
352,標準,,,0,0,0
353,較長,,,0,0,0
354,最長,,,0,0,0
355,類型1,,,0,0,0
356,類型2,,,0,0,0
357,類型3,,,0,0,0
358,類型4,,,0,0,0
359,,,,0,0,0
360,,,,0,0,0
361,,,,0,0,0
362,,,,0,0,0
363,,,,0,0,0
364,,,,0,0,0
365,最短,,,0,0,0
366,較短,,,0,0,0
367,標準,,,0,0,0
368,較長,,,0,0,0
369,最長,,,0,0,0
370,類型1,,,0,0,0
371,類型2,,,0,0,0
372,類型3,,,0,0,0
373,類型4,,,0,0,0
374,,,,0,0,0
375,最小,,,0,0,0
376,較小,,,0,0,0
377,標準,,,0,0,0
378,較大,,,0,0,0
379,最大,,,0,0,0
380,最短,,,0,0,0
381,較短,,,0,0,0
382,標準,,,0,0,0
383,較長,,,0,0,0
384,最長,,,0,0,0
385,類型1,,,0,0,0
386,類型2,,,0,0,0
387,類型3,,,0,0,0
388,類型4,,,0,0,0
389,,,,0,0,0
390,,,,0,0,0
391,,,,0,0,0
392,,,,0,0,0
393,,,,0,0,0
394,,,,0,0,0
395,最短,,,0,0,0
396,較短,,,0,0,0
397,標準,,,0,0,0
398,較長,,,0,0,0
399,最長,,,0,0,0
400,類型1,,,0,0,0
401,類型2,,,0,0,0
402,類型3,,,0,0,0
403,類型4,,,0,0,0
404,,,,0,0,0
405,最小,,,0,0,0
406,較小,,,0,0,0
407,標準,,,0,0,0
408,較大,,,0,0,0
409,最大,,,0,0,0
410,非常瘦弱,,,0,0,0
411,比較瘦弱,,,0,0,0
412,標準,,,0,0,0
413,比較強壯,,,0,0,0
414,非常強壯,,,0,0,0
415,,,,0,0,0
416,,,,0,0,0
417,,,,0,0,0
418,,,,0,0,0
419,,,,0,0,0
420,,,,0,0,0
421,,,,0,0,0
422,,,,0,0,0
423,,,,0,0,0
424,,,,0,0,0
425,非常瘦弱,,,0,0,0
426,比較瘦弱,,,0,0,0
427,標準,,,0,0,0
428,比較強壯,,,0,0,0
429,非常強壯,,,0,0,0
430,,,,0,0,0
431,,,,0,0,0
432,,,,0,0,0
433,,,,0,0,0
434,,,,0,0,0
435,最小,,,0,0,0
436,較小,,,0,0,0
437,標準,,,0,0,0
438,較大,,,0,0,0
439,最大,,,0,0,0
440,,,,0,0,0
441,,,,0,0,0
442,,,,0,0,0
443,,,,0,0,0
444,,,,0,0,0
445,戰鬥精英,,,0,0,0
446,,,,0,0,0
447,魔法導師,,,0,0,0
448,,,,0,0,0
449,,,,0,1200,0
450,,,,0,1200,0
451,,,,0,0,0
452,,,,0,1210,0
453,,,,0,36020,0
454,,,,0,1420,0
455,,,,0,36015,0
456,,,,0,930,0
457,,,,0,38130,0
458,硌獅族 男,,"硌獅族來自北洲伊爾薩巴德大陸。
他們有著發達的肌肉和尖銳的爪子與鋒利的牙齒，其長相會讓人誤以為是獅子或豹。
正因為他們的這般長相，所以被其他種族視為野蠻人，導致與其他種族之間的鬥爭不斷。
直到通用語出現後，各種族才更加了解對方，從而才慢慢加深了相互之間的交流。
硌獅族男女出生比例非常極端，幾乎看不到女性。",0,0,0
459,,,,0,0,0
460,維艾拉族 男,,"維艾拉族是奧薩德次大陸的少數民族，其名字的意思為森林居民。
自古以來，他們就隱居在森林深處構築著自己的歷史，
現如今依舊很少出現在其他種族的生活圈內。
特別是他們有規定成年男性要獨自過著流浪生活，所以很少見到男性維艾拉族。
另外，維艾拉族的外觀與人族和精靈族非常相近，特徵則是那發達的大長耳朵。",0,0,0
461,,,,0,0,0
462,掠日之民,,"擁有暖色毛髮的硌獅部族。
他們以女王為中心，生活在北洲大陸南部的博茲雅地區。
在他們自己的語言中並不存在對自身部族的稱呼，
不過那以一名女性指導者為中心，多數男性為之行動的社會構造，
正像是以太陽為中心環繞的彗星，因此通用語中將他們稱為掠日之民。",0,0,0
463,,,,0,0,0
464,迷蹤之民,,"擁有冷色毛髮的硌獅部族。
在很久以前，他們舍去了定居生活，開始了流浪生活。
他們時而是體力勞動者，時而是助人的傭兵，有時甚至是旅行商人，
根據不同時期改變自己的職業，過著隨性的自由生活。
這種生活方式被比喻為遠離太陽的彗星，故被稱作迷蹤之民。",0,0,0
465,,,,0,0,0
466,密林之民,,"擁有褐色皮膚能夠融入昏暗密林的維艾拉部族。
他們將葛爾摩大密林視為聖地，稱自己為森林的守護者，
對未經允許就踏入森林的人，將會用長槍與弓箭歡迎對方。
在受到舊達瑪斯卡王國統治的時期，他們依然享有自治權。
雖然大部分族人至今維持著古樸的生活習慣，不過也有小部分人離開森林去到了外界生活。",0,0,0
467,,,,0,0,0
468,山林之民,,"擁有白色皮膚如同飄雪點綴山林的維艾拉部族。
他們以斯卡提山脈南側的山腹附近為根據地，
堅持著古時延續下來的狩獵採集的生活，完全斷絕與外界的接觸。
其中也有人捨棄了這種生活，走出了故鄉，
因受到戰亂餘波的影響，其中一部分人前往了艾奧傑亞。",0,0,0
469,,,,0,0,0
470,,,,0,0,0
471,"哈羅妮是司掌冰河與戰爭的女神，同時也是伊修加爾德城邦的守護神。
她有著冰屬性的神力，負責管理星一月的運行。
據傳說，哈羅妮是破壞神拉爾戈的女兒，也是大地神諾菲卡的敵人。
她經常被描繪為一位裝備著青銅巨盾的強大戰士。象徵符號則是三把並列的尖槍。",,,0,0,0
472,"梅茵菲娜是司掌雙月與慈愛的女神。
她有著冰屬性的神力，負責管理靈一月的運行。
據傳說，梅茵菲娜是太陽神阿澤瑪同父異母的妹妹，也是山岳神奧修昂的戀人。
她經常被描繪為一位手持平底鍋的侍女。象徵符號則是一輪滿月。",,,0,0,0
