#,Text,GroupTitle,LookupTable,Group,Key
605,要出售嗎？,yaochushouma?,,6,5
606,能交換嗎？,nengjiaohuanma?,,6,6
607,你需要嗎？,nixuyaoma?,,6,7
608,你能製作嗎？,ninengzhizuoma?,,6,8
609,你有嗎？,niyouma?,,6,9
610,需要什麼必要的素材？,xuyaoshenmebiyaodesucai?,,6,10
611,沒錢！,meiqian,,6,11
612,我沒有那個道具。,womeiyounagedaoju,,6,12
613,我沒什麼能給你的。,womeishenmenenggeinide,,6,13
614,給你這個。,geinizhege,,6,14
615,請。,qing,,6,15
616,報酬：,baochou,,6,16
617,價格：,jiage,,6,17
618,發送物品,fasongwupin,,6,18
700,【組織】,zuzhi.,@,7,0
701,尋找同伴中。,xunzhaotongbanzhong,,7,1
702,請集合。,qingjihe,,7,2
703,組隊怎麼樣？,zuduizenmeyang?,,7,3
704,你是一個人嗎？,nishiyigerenma?,,7,4
705,有空位嗎？,youkongweima?,,7,5
706,請邀請我。,qingyaoqingwo,,7,6
707,請讓我加入。,qingrangwojiaru,,7,7
708,誰是隊長？,shuishiduizhang?,,7,8
709,就一會兒也可以。,jiuyihuieryekeyi,,7,9
710,我們小隊滿了。,womenxiaoduimanle,,7,10
711,請幫個忙。,qingbanggemang,,7,11
712,小隊解散。,xiaoduijiesan,,7,12
713,暫時離開一下。,zanshilikaiyixia,,7,13
714,希望組隊。,xiwangzudui,,7,14
715,Light Party,qingruixiaodui,,7,15
716,Full Party,manbianxiaodui,,7,16
717,我還沒有適應。,wohaimeiyoushiying,,7,17
718,要補充隊員嗎？,yaobuchongduiyuanma?,,7,18
800,【戰術】,zhanshu.,@,8,0
801,請跟上。,qinggenshang,,8,201
802,我會跟上的。,wohuigenshangde,,8,202
803,調查看看。,diaochakankan,,8,203
804,我找到了！,wozhaodaole,,8,204
805,全力攻擊！,quanligongji,,8,1
806,稍微退後些。,shaoweituihouxie,,8,2
807,請留意仇恨值。,qingliuyichouhenzhi,,8,3
808,先幹掉這個！,xiangandiaozhege,,8,4
809,請不要攻擊。,qingbuyaogongji,,8,5
810,拉住那隻怪！,lazhunazhiguai,,8,6
811,請使它無效化。,qingshitawuxiaohua,,8,7
812,治療！,zhiliao,,8,8
813,快加上！,kuaijiashang,,8,9
814,快跑！,kuaipao,,8,10
815,救命！,jiuming,,8,11
816,停止！,tingzhi,,8,12
817,待命中。,daimingzhong,,8,13
818,沒剩下了。,meishengxiale,,8,14
819,沒有了。,meiyoule,,8,15
820,請節約一點。,qingjieyueyidian,,8,16
821,我會節約的。,wohuijieyuede,,8,17
822,裝備的耐久度下降了。,zhuangbeidenaijiuduxiajiangle,,8,18
823,準備完畢！,zhunbeiwanbi,,8,19
824,請標記怪物。,qingbiaojiguaiwu,,8,100
825,用這個吧。,yongzhegeba,,8,20
826,休息一下吧。,xiuxiyixiaba,,8,205
827,我去引敵人過來。,woquyindirenguolai,,8,21
828,我去吸引敵人。,woquxiyindiren,,8,22
829,請等一下。,qingdengyixia,,8,206
830,在那邊集合吧。,zainabianjiheba,,8,207
831,我們走吧。,womenzouba,,8,208
832,請到那邊去。,qingdaonabianqu,,8,209
833,我現在過去。,woxianzaiguoqu,,8,210
834,馬上回來。,mashanghuilai,,8,211
835,請快點擲骰。,qingkuaidianzhitou,,8,212
836,弱點：,ruodian,,8,300
837,注意：,zhuyi,,8,301
838,推薦：,tuijian,,8,302
839,討伐順序：,taofashunxu,,8,303
840,所需物品：,suoxuwupin,,8,304
841,請保持住敵人的仇恨。,qingbaochizhudirendechouhen,,8,23
842,敵人正在靠近！,direnzhengzaikaojin,,8,24
843,請不要在意。,qingbuyaozaiyi,,8,25
844,請不要管那個。,qingbuyaoguannage,,8,26
845,交換。,jiaohuan,,8,1105
846,換我來！,huanwolai,,8,27
847,我先上！,woxianshang,,8,28
848,我們慢點打。,womenmandianda,,8,200
849,快做！,kuaizuo,,8,30
850,方向：,fangxiang,,8,305
851,快迴避！,kuaihuibi,,8,31
852,請朝後。,qingchaohou,,8,32
853,快去吃傷害。,kuaiquchishanghai,,8,33
854,讓敵人離遠點。,rangdirenliyuandian,,8,34
855,離遠點。,liyuandian,,8,35
856,離近點。,lijindian,,8,36
857,帶走。,daizou,,8,37
859,快切斷！,kuaiqieduan,,8,39
860,繼續維持！,jixuweichi,,8,40
861,一起打倒吧！,yiqidadaoba,,8,41
862,躲起來！,duoqilai,,8,42
863,搭乘了！,dachengle!,,8,43
864,請搭乘！,qingdacheng!,,8,44
900,【職能】,zhineng.,@,9,0
901,隊長,duizhang,,9,1
902,管理員,guanliyuan,,9,2
903,戰鬥精英,zhandoujingying,,9,10
904,魔法導師,mofadaoshi,,9,11
905,大地使者,dadishizhe,,9,12
906,能工巧匠,nenggongqiaojiang,,9,13
907,防護職業,fanghuzhiye,,9,20
908,近戰職業,jinzhanzhiye,,9,23
909,遠程職業,yuanchengzhiye,,9,24
910,治療職業,zhiliaozhiye,,9,21
911,強化職業,qianghuazhiye,,9,26
912,魔法職業,mofazhiye,,9,25
913,進攻職業,jingongzhiye,,9,22
950,【位置】,weizhi.,@,10,0
951,位置,weizhi,,10,1
952,北,bei,,10,13
953,南,nan,,10,12
954,東,dong,,10,10
955,西,xi,,10,11
956,上,shang,,10,20
957,下,xia,,10,21
958,右,you,,10,23
959,左,zuo,,10,22
960,前面,qianmian,,10,30
961,後面,houmian,,10,31
962,旁邊,pangbian,,10,43
963,正面,zhengmian,,10,40
964,中央,zhongyang,,10,46
965,側面,cemian,,10,41
966,內側,neice,,10,44
967,外側,waice,,10,45
968,這邊,zhebian,,10,50
969,遠處,yuanchu,,10,51
970,那邊,nabian,,10,52
971,再近一些,zaijinyixie,,10,53
972,再遠一些,zaiyuanyixie,,10,54
973,入口,rukou,,10,60
974,出口,chukou,,10,61
975,背面,beimian,,10,42
976,一點,yidian,,10,70
977,兩點,liangdian,,10,71
978,三點,sandian,,10,72
979,四點,sidian,,10,73
980,五點,wudian,,10,74
981,六點,liudian,,10,75
982,七點,qidian,,10,76
983,八點,badian,,10,77
984,九點,jiudian,,10,78
985,十點,shidian,,10,79
986,十一點,shiyidian,,10,80
987,十二點,shierdian,,10,81
1000,【時間】,shijian.,@,11,0
1001,前天,qiantian,,11,3
1002,昨天,zuotian,,11,2
1003,今天,jintian,,11,1
1004,明天,mingtian,,11,4
1005,後天,houtian,,11,5
1006,上周,shangzhou,,11,11
1007,這周,zhezhou,,11,10
1008,下周,xiazhou,,11,12
1009,上午,shangwu,,11,20
1010,下午,xiawu,,11,21
1011,早晨,zaochen,,11,30
1012,中午,zhongwu,,11,31
1013,晚上,wanshang,,11,32
1014,星期,xingqi,,11,40
1015,星期日,xingqiri,,11,41
1016,星期一,xingqiyi,,11,42
1017,星期二,xingqier,,11,43
1018,星期三,xingqisan,,11,44
1019,星期四,xingqisi,,11,45
1020,星期五,xingqiwu,,11,46
1021,星期六,xingqiliu,,11,47
1022,假日,jiari,,11,50
1023,休息,xiuxi,,11,51
1024,長期,changqi,,11,60
1025,短期,duanqi,,11,61
1026,日期,riqi,,11,70
1027,秒,miao,,11,75
1028,分鐘,fenzhong,,11,74
1029,小時,xiaoshi,,11,71
1030,月,yue,,11,73
1031,年,nian,,11,72
1032,1月,yiyue,,11,120
1033,2月,eryue,,11,121
1034,3月,sanyue,,11,122
1035,4月,siyue,,11,123
1036,5月,wuyue,,11,124
1037,6月,liuyue,,11,125
1038,7月,qiyue,,11,126
1039,8月,bayue,,11,127
1040,9月,jiuyue,,11,128
1041,10月,shiyue,,11,129
1042,11月,shiyiyue,,11,130
1043,12月,shieryue,,11,131
1044,上個月,shanggeyue,,11,81
1045,這個月,zhegeyue,,11,80
1046,下個月,xiageyue,,11,82
1047,去年,qunian,,11,84
1048,今年,jinnian,,11,83
1049,明年,mingnian,,11,85
1050,現在,xianzai,,11,90
1051,馬上,mashang,,11,91
1052,任何時候,renheshihou,,11,92
1053,最初,zuichu,,11,100
1054,最後,zuihou,,11,101
1055,等待時間,dengdaishijian,,11,110
1056,剩餘時間,shengyushijian,,11,111
1057,結束時間,jieshushijian,,11,112
1058,第六星曆,diliuxingli,,11,140
1059,第七靈災,diqilingzai,,11,141
1060,第七星曆,diqixingli,,11,142
1061,之前,zhiqian,,11,93
1062,之後,zhihou,,11,94
1150,【移動方式】,yidongfangshi.,@,13,0
1151,行走,xingzou,,13,2
1152,奔跑,benpao,,13,1
1153,跟隨,gensui,,13,3
1154,陸行鳥,luxingniao,,13,10
1155,專屬陸行鳥,zhuanshuluxingniao,,13,11
1156,租借陸行鳥,zujieluxingniao,,13,12
1157,陸行鳥運輸,luxingniaoyunshu,,13,13
1158,坐騎,zuoqi,,13,20
1159,傳送,chuansong,,13,30
1160,返回,fanhui,,13,31
1161,都市傳送網,dushichuansongwang,,13,33
1162,飛空艇,feikongting,,13,34
1163,返回點,fanhuidian,,13,32
1164,定期船,dingqichuan,,13,35
1165,飛行坐騎,feixingzuoqi,,13,21
1200,【設施】,sheshi.,@,14,0
1201,乙太之光,yitaizhiguang,,14,10
1202,城內乙太之晶,chengneiyitaizhijing,,14,11
1203,冒險者行會,maoxianzhehanghui,,14,20
1204,行會,hanghui,,14,21
1205,商店,shangdian,,14,30
1206,陸行鳥欄,luxingniaolan,,14,31
1207,旅店,lvguan,,14,90
1208,客房,kefang,,14,32
1209,休息區,xiuxiqu,,14,42
1210,行會理符發行處,hanghuilifufaxingchu,,14,39
1211,通訊貝辦理處,tongxunbeibanlichu,,14,40
1212,市場佈告板,shichangbugaoban,,14,33
1213,僱員窗口,guyuanchuangkou,,14,41
1214,修理工,xiuligong,,14,34
1215,飛艇坪,feitingping,,14,71
1216,郵差莫古利,youchaimoguli,,14,35
1217,碼頭,matou,,14,72
1218,渡輪碼頭,dulunmatou,,14,73
1219,搭乘點,dachengdian,,14,70
1220,黑渦司令部,heiwojunlingbu,,14,80
1221,雙蛇黨統合司令部,shechaosilingbu,,14,81
1222,不滅隊作戰總部,henghuizuozhanzongbu,,14,82
1223,冒險者住宅區,maoxianzhezhuzhaiqu,,14,91
1224,鬥技場接待處,jingjichangjiedaichu,,14,60
1225,狩獵任務告示板,guaiwushouliegaoshiban,,14,36
1226,天氣預報員,tianqiyubaoyuan,,14,37
1227,美容師傳喚鈴,meirongshichuanhuanling,,14,100
1228,擴建區,kuojianqu,,14,92
1229,管弦樂琴,guanxianyueqin,,14,101
1230,木人,muren,,14,50
1231,魔晶石師傅,mojingshishifu,,14,38
1232,公寓,gongyu,,14,93
1233,投影台,touyingtai,,14,102
1234,交流簿,jiaoliubu,,14,110
1235,收藏櫃,shoucanggui,,14,103
1236,旅行筆錄,lvxingbilu,,14,104
1250,【大國防聯軍】,daguofanglianjun.,@,15,0
1251,大國防聯軍,daguofanglianjun,,15,1
1252,軍銜,junxian,,15,2
1253,軍需品,junxupin,,15,3
1254,補給品,bujipin,,15,4
1255,稀有品,xiyoupin,,15,5
1256,黑渦團,heiwotuan,,15,6
1257,雙蛇黨,shuangshedang,,15,7
1258,不滅隊,henghuidui,,15,8
1270,【公會】,budui.,@,16,0
1271,公會,budui,,16,1
1272,署名,shuming,,16,2
1273,公會公告,buduigonggao,,16,3
1274,公會儲物櫃,buduichuwugui,,16,4
1275,公會徽章,buduiduihui,,16,5
1276,公會特效,buduitexiao,,16,6
1277,公會合建,buduihejian,,16,7
1278,公會工坊,buduigongfang,,16,8
1279,飛空艇探索,feikongtingtansuo,,16,9
1280,潛水艇探索,qianshuitingtansuo,,16,10
1300,【遊戲系統】,youxixitong.,@,17,0
1301,職業,zhiye,,17,1
1302,轉職,zhuanzhi,,17,2
1303,特職,tezhi,,17,3
1304,轉換特職,zhuanhuantezhi,,17,4
1305,靈魂水晶,linghunshuijing,,17,6
1306,等級,dengji,,17,10
1307,經驗值,jingyanzhi,,17,11
1308,守護神,shouhushen,,17,500
1309,民族,minzu,,17,501
1310,部族,buzu,,17,502
1311,地區,diqu,,17,700
1312,兵裝,bingzhuang,,17,5
1313,道具,daoju,,17,23
1314,套裝,taozhuang,,17,801
1315,休息獎勵,xiuxijiangli,,17,12
1316,單人,danren,,17,50
1317,小隊,xiaodui,,17,51
1318,坐騎,zuoqi,,17,200
1319,寵物,chongwu,,17,201
1320,僱員,guyuan,,17,202
1321,戰鬥,zhandou,,17,20
1322,製作,zhizuo,,17,21
1323,採集,caiji,,17,22
1324,耐久度,naijiudu,,17,24
1325,精煉度,jingliandu,,17,25
1326,裝備適性,zhuangbeishixing,,17,26
1327,寶箱,baoxiang,,17,60
1328,目標,mubiao,,17,210
1329,鎖定,suoding,,17,213
1330,焦點目標,jiaodianmubiao,,17,211
1331,目標標記,mubiaobiaoji,,17,214
1332,選單,caidan,,17,800
1333,地圖,ditu,,17,803
1334,服務台,fuwutai,,17,810
1335,截圖,jietu,,17,820
1336,返回標題畫面,fanhuibiaotihuamian,,17,811
1337,退出遊戲,tuichuyouxi,,17,812
1338,關閉,guanbi,,17,813
1339,指定文字,dingxingwen,,17,821
1340,情感動作,qinggandongzuo,,17,802
1341,成就,chengjiu,,17,80
1342,稱號,chenghao,,17,81
1343,貨幣,huobi,,17,100
1344,Gil,jinbi,,17,101
1345,交易,jiaoyi,,17,91
1346,調查,diaocha,,17,90
1347,自動跟隨,zidonggensui,,17,92
1348,團隊,tuandui,,17,52
1349,房屋,fangwu,,17,380
1350,友好度,youhaodu,,17,391
1351,友好關係等級,youhaoguanxidengji,,17,392
1352,最優隊員,zuiyouduiyuan,,17,70
1353,亞拉戈神典石,yalageshendianshi,,17,150
1356,投票驅逐,toupiaoquzhu,,17,73
1357,放棄任務投票,fangqirenwutoupiao,,17,72
1358,場地標記,changjingbiaoji,,17,215
1359,地面目標,dimianmubiao,,17,212
1360,武具投影,wujutouying,,17,350
1362,美容師,meirongshi,,17,351
1363,僱員探險,guyuantanxian,,17,302
1364,魂晶,hunjing,,17,400
1365,黃道武器,huangdaowuqi,,17,410
1366,星光變石,xingguangbianshi,,17,401
1367,魂靈,hunling,,17,412
1368,新星,xinxing,,17,413
1369,同盟徽章,tongmenghuizhang,,17,103
1370,怪物通緝令,guaiwutongjiling,,17,300
1371,法外戰區,fawaizhanqu,,17,301
1372,超越之力,chaoyuezhili,,17,550
1373,飼養陸行鳥,siyangluxingniao,,17,381
1374,天氣預報,tianqiyubao,,17,303
1375,亞拉戈詩學神典石,yalageshixueshendianshi,,17,154
1376,貢獻值,gongxianzhi,,17,390
1377,軍票,junpiao,,17,102
1378,狼印戰績,langyinzhanji,,17,105
1379,天極,tianji,,17,411
1380,鎮魂,zhenhun,,17,414
1381,兵團徽章,bingtuanhuizhang,,17,104
1384,隊長分配,duizhangfenpei,,17,63
1385,僅限貪婪,jinxiantanlan,,17,62
1386,通常分配,tongchangfenpei,,17,61
1387,聖靈武器,yuanlingwuqi,,17,420
1389,永結同心,yongjietongxin,,17,352
1390,物品品級,wupinpinji,,17,12
1391,等級調整,dengjitiaozheng,,17,13
1392,天書奇談,tianshuqitan,,17,353
1396,解除限制,jiechuxianzhi,,17,71
1397,樂器演奏,yueqiyanzou,,17,354
1398,時尚品鑑,shishangpinjian,,17,356
1400,【戰鬥】,zhandou.,@,18,0
1401,攻擊,gongji,,18,1
1402,技能,jineng,,18,2
1403,共通技能,gongtongjineng,,18,6
1404,特性,texing,,18,26
1405,特職技能,tezhijineng,,18,3
1406,額外技能,ewaijineng,,18,5
1407,魔法,mofa,,18,22
1408,戰技,zhanji,,18,21
1409,能力,nengli,,18,23
1410,詠唱時間,yongchangshijian,,18,24
1411,冷卻時間,fuchangshijian,,18,25
1412,行動適性,xingdongshixing,,18,27
1413,連結,lianjie,,18,56
1414,召喚獸,zhaohuanshou,,18,31
1415,搭檔,dadang,,18,32
1416,仇恨,chouhen,,18,53
1417,主動,zhudong,,18,54
1418,被動,beidong,,18,55
1419,無法戰鬥,wufazhandou,,18,59
1420,戰利品,zhanlipin,,18,70
1421,分配,fenpei,,18,72
1422,擲骰,zhitou,,18,71
1423,抗性,kangxing,,18,29
1424,習得,xide,,18,28
1425,索敵,suodi,,18,57
1426,範圍,fanwei,,18,58
1427,極限爆發,jixianji,,18,7
1428,敵人,diren,,18,50
1429,魔物,mowu,,18,51
1430,危險標的怪物,emingjingying,,18,52
1432,連鎖獎勵,liansuojiangli,,18,81
1433,兵裝轉換獎勵,bingzhuangzhuanhuanjiangli,,18,80
1434,等級同步,dengjitongbu,,18,83
1435,PvP技能,duizhanjineng,,18,8
1436,範圍攻擊,fanweigongji,,18,102
1437,前方範圍攻擊,qianfangfanweigongji,,18,104
1438,後方範圍攻擊,houfangfanweigongji,,18,105
1439,全體攻擊,quanpinggongji,,18,103
1440,前哨,qianshao,,18,300
1441,莊園遺跡,zhuangyuanyiji,,18,301
1442,據點,judian,,18,302
1443,軍旗,junqi,,18,303
1444,佔領,zhanling,,18,304
1445,中立化,zhonglihua,,18,305
1446,戰術值,zhanshuzhi,,18,306
1447,市場遺跡,shichangyiji,,18,307
1448,太陽神殿,taiyangshendian,,18,308
1449,連擊,lianji,,18,30
1450,奮戰技,fenzhanji,,18,20
1451,單體攻擊,dantigongji,,18,100
1452,弩砲,nupao,,18,90
1453,亞拉戈石文,yalageshiwen,,18,309
1454,利爪隊,lizhuadui,,18,200
1455,尖牙隊,jianyadui,,18,201
1456,戰章,zhanzhang,,18,203
1458,危急時刻,weijishike,,18,206
1462,奮戰補給箱,fenzhanbujixiang,,18,210
1466,奮戰道具包,fenzhandaojubao,,18,211
1467,補給箱,bujixiang,,18,214
1468,擊倒,jiyun,,18,215
1469,擊倒,jidao,,18,216
1470,助攻,zhugong,,18,217
1471,連續攻擊,lianxugongji,,18,101
1472,突進攻擊,tujingongji,,18,106
1473,擊退,jitui,,18,107
1474,吸引,xiyin,,18,108
1475,冰封的石文,bingfengdeshiwen,,18,310
1476,情報值,qingbaozhi,,18,311
1477,狼心,langxin,,18,212
1478,狼心包,langxinbao,,18,213
1479,核心,hexin,,18,400
1480,魔導結界,modaojiejie,,18,401
1481,防禦塔,fangyuta,,18,402
1482,機庫,jiku,,18,403
1483,青磷水,qinglinshui,,18,404
1484,動力發生器,donglifashengqi,,18,405
1485,蒸氣加農砲,zhengqijianongpao,,18,406
1486,自走維京人偶,zizouweijingrenou,,18,407
1487,自走法師人偶,zizoufashirenou,,18,408
1488,機動兵器,jidongbingqi,,18,409
1489,巡航驅逐者,xunhangquzhuzhe,,18,410
1490,壓迫者,yapozhe,,18,411
1491,殘暴正義號,canbaozhengyihao,,18,412
1492,職能技能,zhinengjineng,,18,4
1494,快捷發言,kuaijiefayan,,18,202
1496,青磷火車,qinglinjiche,,18,413
1497,哥布林坦克,gebulintanke,,18,415
1498,哥布林傭兵,gebulinyongbing,,18,416
1499,戰略值,zhanlvezhi,,18,312
1500,【線上狀態】,zaixianzhuangtai.,@,19,0
1501,線上,zaixian,,19,1
1502,離開,likai,,19,5
1503,忙碌,manglu,,19,6
1504,希望組隊,xiwangzudui,,19,8
1505,接受鑲嵌魔晶石請求,jieshouxiangqianmojingshiqingqiu,,19,9
1506,任務中,renwuzhong,,19,3
1507,離線,lixian,,19,2
1508,隊員招募中,duiyuanzhaomuzhong,,19,4
1509,新人,xinren,,19,11
1510,指導者,zhidaozhe,,19,13
1511,戰鬥指導者,zhandouzhidaozhe,,19,14
1512,PvP指導者,duizhanzhidaozhe,,19,15
1513,製作採集指導者,zhizuocaijizhidaozhe,,19,16
1514,角色扮演中,juesebanyanzhong,,19,10
1515,回歸者,huiguizhe,,19,11
1516,過場劇情中,guochangjuqingzhong,,19,7
1521,無垢的大地,wugoudedadi,,18,313
1522,契約,qiyue,,18,314
1523,戰術水晶,zhanshushuijing,,18,600
1524,水晶點,shuijingdian,,18,601
